,PrimaryColor,BreedCategory,IntakeStatus,PetAgeCategory,Sex,TopBreed,BinaryOutcome
6015,10,0,1,0,1,15,0
6018,10,0,3,1,1,8,0
6020,10,1,0,0,1,18,0
6038,5,1,1,0,1,17,0
6039,3,0,1,1,1,17,1
6043,4,1,4,0,0,4,0
6045,7,1,1,3,1,7,0
6046,1,1,1,3,0,18,0
6056,0,0,1,3,1,17,0
6059,3,1,4,3,1,15,0
6063,3,2,1,1,0,6,0
6065,0,1,1,1,0,22,0
6066,2,1,1,3,0,18,0
6067,0,0,1,1,0,17,1
6068,7,1,1,0,1,18,0
6069,3,0,4,0,0,18,0
6071,3,1,1,0,0,18,0
6093,1,1,1,0,0,18,0
6099,0,2,1,3,1,5,0
6100,0,0,1,3,1,17,0
6104,2,1,1,0,1,18,0
6105,0,1,1,3,1,22,0
6106,3,0,1,0,1,8,0
6115,2,1,1,0,0,18,0
6131,10,2,1,0,1,0,0
6133,3,0,3,1,1,8,0
6134,10,2,1,1,1,12,0
6137,0,2,2,3,0,15,0
6144,0,1,1,0,0,12,0
6176,7,1,1,0,1,12,0
6190,10,0,1,0,1,17,0
6197,0,0,1,3,0,12,0
6199,1,1,2,2,1,3,0
6201,0,2,0,2,0,23,0
6211,0,0,1,0,1,23,0
6220,0,1,1,1,0,4,1
6302,2,0,4,1,1,17,0
6307,11,0,0,0,1,12,0
6311,2,1,1,0,0,17,1
6320,5,1,0,2,0,11,0
6323,10,1,1,0,1,17,0
6324,0,2,1,3,1,12,0
6326,9,2,1,0,0,17,0
6332,3,0,1,0,1,17,0
6357,10,1,4,0,1,17,0
6362,7,0,1,1,1,10,0
6367,3,2,0,3,1,12,0
6368,7,1,1,0,1,6,0
6401,3,2,1,0,1,18,0
6418,10,1,0,0,0,3,0
6435,3,1,0,3,1,18,0
6442,0,0,1,3,0,15,0
6444,0,0,1,1,1,17,1
6445,7,0,1,1,1,11,0
6451,0,0,2,2,0,4,0
6452,0,0,1,0,0,15,0
6453,3,1,1,3,1,6,1
6455,10,0,1,2,1,12,0
6458,5,1,1,0,0,18,0
6459,0,1,2,2,1,15,0
6462,1,1,1,2,0,24,1
6464,0,0,1,3,0,4,1
6465,10,2,1,0,0,17,0
6486,2,1,1,3,1,18,0
6489,0,0,2,3,1,17,0
6490,0,1,2,2,1,22,0
6494,10,1,2,2,1,20,0
6502,2,1,4,1,0,18,0
6505,5,0,0,3,0,18,0
6513,3,2,1,3,1,22,0
6514,2,2,1,0,1,6,1
6515,10,1,1,0,0,18,0
6527,3,1,4,3,1,1,0
6548,0,0,2,2,0,12,0
6549,3,0,1,0,1,8,0
6579,3,0,0,3,0,18,0
6586,0,2,1,3,1,15,0
6602,3,0,2,0,1,12,0
6605,10,0,1,0,0,18,1
6609,0,1,1,2,0,8,0
6615,0,1,1,0,1,3,0
6637,0,0,1,3,1,17,1
6640,0,0,1,3,1,12,0
6647,0,0,1,1,0,18,0
6648,0,0,1,1,0,18,0
6649,0,0,2,2,0,9,0
6650,3,0,1,0,0,6,0
6658,7,0,0,0,1,15,0
6667,0,1,0,0,0,11,0
6671,10,1,2,2,1,17,0
6672,3,0,0,3,0,4,0
6694,0,1,2,2,1,22,0
6698,3,1,1,3,1,18,0
6706,2,1,1,1,1,18,0
6718,0,1,4,0,1,18,0
6720,0,1,1,0,1,22,0
6724,7,0,1,0,1,12,0
6729,3,2,1,3,0,5,1
6743,10,1,2,2,0,17,0
6744,10,0,1,1,1,18,0
6755,0,1,1,3,1,17,1
6788,3,0,1,3,0,17,0
6804,0,1,1,3,0,7,1
6806,2,1,3,1,1,6,0
6827,0,0,4,3,0,15,0
6829,5,1,1,1,1,18,0
6831,5,1,1,0,1,19,0
6836,0,1,0,2,1,22,0
6857,10,2,1,0,1,17,1
6864,3,1,1,0,1,15,0
6865,3,1,4,0,0,15,0
6868,10,0,1,3,0,17,0
6872,0,0,1,0,0,4,0
6878,7,1,4,2,1,6,0
6880,11,1,1,1,0,15,1
6882,0,1,2,2,0,17,0
6883,0,1,3,3,1,4,1
6884,5,1,1,3,1,18,0
6889,0,0,0,0,1,5,0
6892,7,1,2,2,0,17,0
6893,7,2,0,0,1,6,0
6894,11,1,1,2,0,26,0
6929,3,1,2,0,1,18,0
6975,0,0,1,2,1,10,0
6976,10,2,1,2,1,17,0
6979,9,2,1,3,1,17,0
6980,5,0,1,3,0,13,1
6984,7,1,2,3,0,1,0
6985,10,0,2,0,0,4,0
6987,3,1,1,3,1,18,0
6995,10,2,0,0,1,18,0
7004,0,0,4,2,0,12,0
7008,0,0,1,3,1,7,0
7032,10,1,1,0,0,17,0
7073,10,1,1,3,1,17,1
7079,1,2,1,1,0,1,1
7089,0,1,2,2,0,15,0
7099,0,1,1,3,0,15,0
7103,0,1,1,0,0,5,1
7125,10,1,3,0,0,0,0
7134,9,1,1,0,0,4,1
7140,3,1,2,2,0,12,0
7149,3,1,4,3,0,18,0
7150,7,2,0,3,0,15,0
7160,10,1,1,0,0,18,0
7175,0,1,1,1,0,18,0
7195,3,0,1,1,1,12,1
7228,3,0,1,1,1,17,1
7231,5,1,2,2,1,8,0
7232,0,1,1,1,1,18,0
7237,3,0,2,2,1,1,0
7243,3,1,4,3,1,4,0
7256,11,1,1,3,0,15,1
7260,2,1,1,3,0,18,0
7267,0,2,2,0,0,22,0
7278,11,2,1,3,1,4,1
7286,10,0,1,3,1,15,0
7294,0,0,1,0,1,17,0
7379,2,1,1,3,1,17,0
7380,0,1,1,3,1,18,0
7401,10,2,2,2,1,9,0
7406,0,1,1,0,1,9,1
7410,3,1,1,0,1,7,0
7429,10,1,2,2,0,17,0
7441,7,0,1,2,0,9,0
7445,0,0,1,1,0,17,1
7454,0,1,1,2,1,17,0
7467,3,0,1,1,1,12,0
7472,9,1,1,0,1,24,1
7473,3,2,1,1,0,8,0
7477,0,0,0,1,0,15,0
7478,1,0,1,3,0,25,1
7479,9,1,1,3,0,4,0
7483,0,0,1,1,0,4,1
7492,3,1,2,0,0,24,0
7494,10,0,4,1,1,14,0
7508,9,2,1,0,1,17,0
7510,0,2,1,1,1,17,0
7511,0,1,4,0,1,18,0
7512,10,1,1,3,0,18,0
7517,5,1,1,2,0,18,0
7521,0,1,2,2,1,26,0
7527,10,1,1,1,1,18,0
7528,7,1,1,2,1,20,0
7531,1,0,1,0,1,17,1
7534,7,1,1,0,0,7,0
7542,3,1,3,0,0,8,0
7543,0,2,1,3,1,18,0
7547,1,1,1,0,1,18,0
7549,0,2,1,3,1,17,0
7550,0,0,1,1,1,17,1
7563,0,1,1,3,1,15,0
7566,0,2,0,0,1,8,0
7567,7,1,0,1,1,18,0
7574,3,0,1,1,0,8,1
7621,2,2,4,1,1,15,1
7645,10,1,4,2,1,6,0
7652,7,1,2,2,1,21,0
7658,0,0,1,3,1,7,0
7661,2,1,1,2,1,18,0
7664,3,0,0,3,0,12,0
7673,10,1,2,2,0,18,0
7675,9,2,4,1,0,14,0
7688,10,0,1,0,1,17,0
7698,10,1,0,0,1,0,1
7705,1,1,1,3,0,18,0
7708,0,0,2,2,1,12,0
7729,3,0,3,1,1,8,0
7731,10,1,1,3,1,4,1
7736,10,0,2,2,0,14,0
7743,10,1,1,1,1,17,1
7754,10,1,4,1,0,18,0
7764,3,0,1,3,0,10,1
7766,0,1,1,1,1,18,0
7769,3,1,1,0,0,18,0
7772,7,1,2,0,1,17,0
7776,0,1,1,0,0,21,0
7777,7,1,1,0,1,18,0
7782,0,0,1,3,0,15,0
7797,2,1,1,0,0,18,0
7804,3,0,1,3,1,17,1
7838,9,2,1,0,1,4,1
7841,5,0,4,0,1,4,0
7846,0,2,1,3,1,16,0
7847,1,1,1,0,0,18,1
7848,3,1,1,0,0,12,1
7854,2,1,1,3,1,18,0
7856,9,1,1,3,0,17,1
7863,0,2,1,1,0,15,0
7876,10,1,0,0,1,1,0
7878,3,0,2,0,0,18,0
7882,3,1,1,2,1,14,0
7899,0,1,1,0,1,24,0
7901,0,1,1,1,0,24,1
7906,10,0,1,1,0,18,0
7907,9,2,1,0,0,17,0
7912,3,0,1,3,1,6,0
7914,9,1,1,1,1,4,1
7917,0,0,1,3,0,15,0
7920,5,0,0,1,0,18,0
7922,5,0,1,3,0,17,1
7924,7,1,2,2,1,20,0
7939,9,1,1,1,1,4,0
7952,0,0,1,0,1,15,0
7953,3,1,1,3,1,17,0
7954,3,0,3,0,0,4,0
7964,2,1,1,3,1,18,0
7967,0,1,4,2,0,15,0
7993,10,2,1,3,0,17,0
8023,0,1,4,2,0,11,0
8026,11,1,1,2,1,15,0
8043,0,0,0,3,0,12,0
8044,3,0,2,2,1,5,0
8048,3,0,2,2,0,11,0
8060,3,1,2,1,0,11,0
8061,5,2,2,2,1,17,0
8101,7,0,1,1,0,3,1
8121,7,0,1,3,0,17,1
8122,7,0,1,1,1,18,0
8133,7,1,1,0,0,17,1
8134,11,2,2,2,1,15,0
8137,0,1,0,3,1,18,0
8141,7,1,1,3,0,18,0
8142,0,0,1,3,0,12,1
8143,3,0,1,0,1,17,0
8147,7,1,1,3,1,7,0
8154,0,0,1,1,0,15,0
8155,10,1,2,2,1,20,0
8161,11,2,1,0,0,9,0
8168,10,0,1,3,1,23,1
8180,7,1,1,0,0,21,0
8193,3,2,1,0,0,4,1
8194,7,1,1,3,1,21,1
8200,10,0,1,1,0,19,1
8201,0,0,1,3,0,15,0
8203,3,0,1,1,0,12,0
8207,0,0,4,1,1,22,0
8208,10,0,4,0,0,18,0
8209,7,1,4,1,1,18,0
8211,9,2,1,1,0,4,1
8221,3,1,1,0,1,18,0
8225,3,2,1,3,1,6,0
8236,2,1,1,3,0,18,0
8266,0,2,1,3,0,4,0
8267,3,0,4,2,0,8,0
8268,10,1,1,0,0,18,0
8270,9,1,1,0,0,17,0
8271,10,0,4,2,1,7,0
8272,0,0,4,1,0,17,0
8273,3,1,4,1,1,18,0
8274,3,2,4,2,0,22,0
8277,5,1,2,2,0,3,0
8332,11,1,1,0,1,17,0
8361,7,0,1,2,0,20,0
8363,7,0,4,0,1,12,0
8366,0,1,0,0,1,22,0
8368,3,1,1,0,0,4,1
8372,0,2,4,1,0,15,0
8375,0,0,2,0,1,17,0
8376,3,1,1,0,0,24,1
8379,0,2,4,3,1,15,0
8381,3,2,1,2,0,8,0
8382,10,1,1,3,0,17,0
8383,7,2,1,3,1,12,0
8384,3,1,2,3,1,25,0
8389,5,1,4,3,1,19,1
8392,0,1,1,0,0,12,0
8396,7,2,4,2,1,17,0
8397,0,0,4,3,0,18,0
8403,0,1,1,3,1,15,0
8404,0,0,0,3,1,15,1
8406,3,1,3,3,1,4,1
8407,10,2,0,0,1,18,0
8408,0,1,1,0,0,15,0
8409,3,1,1,0,1,7,0
8420,7,1,1,2,0,18,0
8437,5,1,1,1,0,13,0
8440,3,2,1,0,1,13,0
8457,1,1,2,2,1,17,0
8468,3,1,4,3,1,15,0
8473,9,1,1,1,1,4,1
8474,10,1,1,2,1,17,0
8475,10,0,1,3,1,4,0
8477,10,0,1,2,1,14,0
8485,1,1,4,0,0,24,0
8488,0,2,1,3,1,15,0
8490,2,0,1,0,0,18,0
8493,10,0,1,3,1,17,1
8495,0,2,0,2,1,8,0
8496,10,2,1,0,1,14,0
8519,6,1,1,0,1,25,1
8550,2,1,1,3,1,18,0
8580,7,0,1,0,0,4,1
8601,2,2,1,3,1,18,1
8603,1,1,4,3,0,18,0
8605,0,2,2,2,0,8,0
8606,0,2,1,0,1,17,1
8607,0,0,4,1,0,5,0
8608,0,1,1,1,1,18,0
8613,7,1,4,0,0,12,0
8614,7,1,1,1,0,12,0
8615,10,1,1,3,0,4,0
8618,0,0,1,0,1,3,0
8643,10,1,1,3,1,6,0
8661,3,2,1,1,1,12,1
8671,3,0,1,3,0,4,1
8672,0,1,1,3,0,18,0
8675,3,0,1,3,0,18,1
8677,9,0,1,0,0,4,0
8681,3,2,1,1,1,4,0
8682,10,0,0,3,1,14,0
8689,3,1,1,3,0,18,0
8691,10,1,2,0,1,17,0
8698,10,1,1,0,0,18,0
8700,10,1,1,0,0,8,0
8703,0,2,2,2,1,17,0
8704,5,0,1,0,1,7,0
8709,7,0,1,0,0,11,1
8710,10,1,1,1,0,7,0
8713,10,1,4,2,0,25,0
8735,10,1,4,3,1,18,0
8742,0,1,1,3,1,4,0
8744,0,1,1,0,1,18,0
8745,0,0,2,3,0,4,0
8747,3,0,2,2,0,12,0
8748,2,2,1,3,0,15,0
8752,11,1,2,2,0,13,0
8753,3,1,2,2,0,10,0
8754,0,1,2,2,1,8,0
8755,3,2,1,0,0,14,0
8756,3,1,1,0,1,4,1
8769,10,1,1,3,0,18,0
8780,10,1,1,0,0,17,1
8787,3,1,4,2,1,11,0
8788,10,1,0,3,0,18,1
8794,5,0,2,0,1,15,0
8818,0,1,1,3,0,7,1
8825,3,0,1,3,1,18,0
8868,9,1,1,3,1,4,1
8871,7,1,1,3,0,18,0
8875,2,1,1,1,0,18,0
8876,3,1,1,3,1,18,0
8880,1,1,2,0,1,18,0
8886,0,2,1,1,1,22,0
8888,0,1,1,3,0,15,0
8911,0,1,2,2,1,12,0
8912,7,1,1,3,1,15,0
8916,0,0,2,2,1,17,0
8917,3,2,1,3,1,15,0
8921,0,0,0,3,0,15,1
8925,9,0,2,0,0,4,0
8948,7,2,1,3,1,18,0
8950,0,0,2,1,1,15,0
8952,0,1,0,0,1,7,0
8953,0,1,4,1,1,15,0
8954,7,0,1,0,1,24,1
8957,3,0,1,3,1,6,0
8958,10,1,2,2,1,17,0
8959,1,1,1,1,0,25,1
8960,7,2,1,1,0,15,1
8961,10,1,2,2,0,9,0
9026,2,1,1,1,1,18,0
9029,0,1,2,1,1,26,0
9037,0,0,1,0,0,18,0
9038,3,1,1,3,1,6,1
9041,3,0,1,3,1,8,0
9045,3,1,1,2,0,7,1
9051,0,1,0,3,1,22,0
9052,0,1,1,1,1,7,0
9055,10,0,1,3,0,4,1
9061,2,0,4,1,0,18,0
9095,3,0,1,1,0,12,1
9100,0,0,1,1,1,17,1
9105,3,2,1,0,1,15,0
9106,1,1,0,0,1,18,0
9110,2,0,1,3,1,18,0
9112,10,1,1,0,1,24,0
9133,0,0,3,1,1,8,0
9178,9,1,1,3,0,2,1
9190,10,1,3,3,0,7,0
9193,4,2,4,2,0,5,0
9195,7,1,1,3,1,24,1
9196,3,2,2,2,1,15,0
9197,0,1,1,3,0,17,0
9203,0,2,1,0,0,15,0
9244,7,0,1,3,0,12,0
9245,0,1,1,3,1,22,0
9248,0,1,1,2,0,22,0
9249,9,1,1,1,0,4,1
9255,0,2,1,0,0,20,1
9258,10,1,1,0,0,17,0
9259,7,1,4,0,1,18,0
9273,11,0,1,0,0,17,0
9276,0,1,2,2,0,17,0
9277,1,1,1,2,1,24,1
9279,0,1,4,2,0,8,0
9290,0,1,0,0,0,18,0
9292,3,1,0,0,0,18,0
9294,3,1,1,0,1,18,0
9295,1,1,3,0,0,18,0
9299,10,0,1,1,1,18,0
9319,0,0,1,3,1,15,0
9321,5,1,4,3,1,17,0
9322,11,0,1,0,1,13,1
9324,7,1,1,1,1,18,0
9325,10,0,1,3,1,17,0
9326,0,0,1,1,0,4,0
9338,2,0,1,1,0,6,0
9344,7,1,1,0,0,17,1
9347,0,0,1,0,1,16,0
9377,7,1,2,2,0,7,0
9409,0,1,1,0,1,17,0
9434,0,1,1,1,1,15,0
9444,7,2,1,1,0,2,0
9445,1,1,1,0,0,17,0
9447,7,2,1,2,0,8,0
9451,10,1,4,1,0,18,0
9464,0,1,1,1,1,18,0
9466,3,1,1,3,1,18,0
9467,3,0,1,3,1,15,0
9468,0,1,1,0,0,15,0
9470,10,2,1,3,1,15,1
9471,10,1,4,2,1,18,0
9477,10,1,1,0,0,17,1
