,PrimaryColor,PrimaryBreed,IntakeInternalStatus,ReproductiveStatusAtIntake,BreedCategory,Pet_age_category,BinaryOutcome,Sex
2568,BLACK,LABRADOR RETRIEVER,NORMAL,ALTERED,Mix,Young,Deny,Female
2592,BLUE,PIT BULL TERRIER,SICK,FERTILE,Pure,Young,Deny,Female
2602,BROWN,PIT BULL TERRIER,NORMAL,FERTILE,Pure,Adult,Deny,Male
2610,WHITE,AMERICAN STAFFORDSHIRE TERRIER,NORMAL,FERTILE,Mix,Young,Deny,Male
2618,BLACK,LABRADOR RETRIEVER,NORMAL,FERTILE,Pure,Senior,Deny,Male
2630,GRAY,POODLE - MINIATURE,NORMAL,ALTERED,Pure,Adult,Take,Male
2634,BLACK,LABRADOR RETRIEVER,SICK,FERTILE,Pure,Baby,Deny,Male
2636,BLACK,BOSTON TERRIER,NORMAL,FERTILE,Pure,Young,Take,Female
2677,BLUE,PIT BULL TERRIER,NORMAL,ALTERED,Pure,Senior,Deny,Female
2688,BROWN,BEAGLE,NORMAL,ALTERED,Mix,Adult,Take,Male
2691,BLACK,LABRADOR RETRIEVER,NORMAL,ALTERED,Mix,Baby,Take,Male
2693,BROWN,BEAGLE,NORMAL,FERTILE,Mix,Young,Take,Female
2721,BLACK,PIT BULL TERRIER,AGGRESSIVE,FERTILE,Pure,Young,Deny,Male
2723,BLACK,LABRADOR RETRIEVER,AGGRESSIVE,ALTERED,Pure,Adult,Deny,Male
2726,TRICOLOR,BEAGLE,NORMAL,FERTILE,Mix,Adult,Deny,Female
2736,BLACK,CHOW CHOW,NORMAL,FERTILE,Two,Baby,Deny,Male
2740,YELLOW,LABRADOR RETRIEVER,NORMAL,ALTERED,Two,Adult,Take,Female
2766,BROWN,LABRADOR RETRIEVER,NORMAL,ALTERED,Mix,Senior,Deny,Female
2769,BLACK,LABRADOR RETRIEVER,NORMAL,FERTILE,Mix,Young,Deny,Male
2788,TAN,YORKSHIRE TERRIER,NORMAL,ALTERED,Pure,Adult,Deny,Male
2810,BROWN,PIT BULL TERRIER,FEARFUL,FERTILE,Two,Young,Deny,Male
2869,TAN,PIT BULL TERRIER,NORMAL,FERTILE,Pure,Adult,Deny,Female
2917,BROWN,POMERANIAN,NORMAL,FERTILE,Mix,Baby,Deny,Female
2947,BROWN,PIT BULL TERRIER,NORMAL,FERTILE,Pure,Baby,Deny,Male
3003,BLACK,AMERICAN BULLDOG,AGGRESSIVE,FERTILE,Two,Young,Deny,Male
3008,BLACK,MINIATURE PINSCHER,NORMAL,ALTERED,Pure,Adult,Take,Male
3033,RED,PIT BULL TERRIER,NORMAL,FERTILE,Pure,Young,Deny,Male
3038,BLACK,BORDER COLLIE,AGGRESSIVE,ALTERED,Pure,Senior,Deny,Male
3050,WHITE,PIT BULL TERRIER,EMACIATED,FERTILE,Pure,Adult,Deny,Female
3091,BLACK,BORDER COLLIE,AGED,FERTILE,Mix,Senior,Deny,Male
3099,BROWN,PIT BULL TERRIER,SICK,FERTILE,Pure,Young,Deny,Male
3102,CHOCOLATE,CHIHUAHUA - SMOOTH COATED,SICK,FERTILE,Mix,Baby,Deny,Male
3132,BLACK,BLACK AND TAN COONOUND,SICK,FERTILE,Pure,Adult,Deny,Female
3135,BLACK,ROTTWEILER,AGED,FERTILE,Pure,Senior,Deny,Male
3138,TAN,PIT BULL TERRIER,NORMAL,FERTILE,Pure,Young,Deny,Male
3143,TAN,BOXER,INJURED,ALTERED,Two,Young,Deny,Female
3146,TAN,BOXER,NORMAL,FERTILE,Pure,Young,Deny,Female
3148,BLACK,GERMAN SHEPHERD DOG,NORMAL,ALTERED,Pure,Adult,Take,Male
3153,BLACK,GERMAN SHEPHERD DOG,SICK,ALTERED,Two,Senior,Deny,Male
3155,BROWN,GERMAN SHEPHERD DOG,SICK,FERTILE,Mix,Baby,Deny,Female
3156,BLACK,LABRADOR RETRIEVER,NORMAL,ALTERED,Mix,Adult,Deny,Male
3165,CHOCOLATE,LABRADOR RETRIEVER,NORMAL,FERTILE,Pure,Young,Deny,Male
3171,WHITE,BORDER COLLIE,NORMAL,ALTERED,Mix,Young,Take,Female
3172,BLUE,PIT BULL TERRIER,NORMAL,ALTERED,Pure,Adult,Deny,Female
3175,BROWN BRINDLE,PIT BULL TERRIER,NORMAL,FERTILE,Pure,Baby,Deny,Female
3181,RED,AMERICAN PIT BULL TERRIER,NORMAL,FERTILE,Mix,Young,Deny,Male
3193,WHITE,POMERANIAN,SICK,FERTILE,Pure,Adult,Deny,Male
3208,BROWN,PIT BULL TERRIER,NORMAL,FERTILE,Pure,Adult,Deny,Female
3246,TAN,COCKER SPANIEL,DEAD,FERTILE,Pure,Senior,Deny,Male
3263,BROWN,CHOW CHOW,NORMAL,FERTILE,Two,Young,Deny,Female
3271,BROWN,BOXER,NORMAL,FERTILE,Pure,Adult,Deny,Female
3277,TAN,CAIRN TERRIER,NORMAL,ALTERED,Mix,Young,Deny,Male
3284,BLACK,LABRADOR RETRIEVER,NORMAL,FERTILE,Pure,Baby,Deny,Female
3312,BROWN,BOXER,NORMAL,ALTERED,Two,Baby,Take,Male
3317,BLACK,AMERICAN PIT BULL TERRIER,NORMAL,FERTILE,Pure,Adult,Deny,Male
3318,BLACK,TOY FOX TERRIER,NORMAL,FERTILE,Mix,Baby,Deny,Female
3319,BROWN BRINDLE,CHIHUAHUA - SMOOTH COATED,NORMAL,ALTERED,Mix,Adult,Take,Male
3320,WHITE,AMERICAN BULLDOG,NORMAL,ALTERED,Two,Young,Take,Female
3371,TAN,PUG,NORMAL,ALTERED,Mix,Adult,Take,Male
3409,BROWN,SIBERIAN HUSKY,NORMAL,ALTERED,Pure,Young,Take,Female
3419,BROWN BRINDLE,AMERICAN PIT BULL TERRIER,NORMAL,FERTILE,Mix,Baby,Deny,Male
3428,WHITE,POINTER,NORMAL,FERTILE,Mix,Young,Deny,Male
3432,BLACK,BEAGLE,FEARFUL,FERTILE,Pure,Adult,Deny,Male
3435,BLACK,AIREDALE TERRIER,NORMAL,FERTILE,Mix,Adult,Deny,Male
3436,WHITE,JACK RUSS TER,NORMAL,FERTILE,Mix,Adult,Deny,Male
3437,BLUE,AMERICAN STAFFORDSHIRE TERRIER,NORMAL,FERTILE,Pure,Adult,Deny,Male
3439,TAN,CHOW CHOW,INJURED,FERTILE,Mix,Senior,Deny,Female
3440,FAWN,BOXER,NORMAL,ALTERED,Pure,Young,Take,Male
3443,BLACK BRINDLE,GERMAN SHEPHERD DOG,INJURED,FERTILE,Mix,Baby,Deny,Male
3498,BLACK,PIT BULL TERRIER,NORMAL,FERTILE,Pure,Adult,Deny,Female
3502,WHITE,BULL TERRIER,NORMAL,FERTILE,Two,Young,Deny,Female
3504,BLACK,DACHSHUND,PARVO,FERTILE,Pure,Baby,Deny,Female
3545,BLACK,ROTTWEILER,NORMAL,ALTERED,Mix,Senior,Deny,Male
3548,LIVER,WEIMARANER,NORMAL,FERTILE,Mix,Young,Deny,Female
3549,BLACK,ROTTWEILER,DEAD,ALTERED,Mix,Senior,Deny,Female
3551,BROWN,REDBONE COONHOUND,NORMAL,ALTERED,Pure,Adult,Deny,Male
3554,RED,CHOW CHOW,NORMAL,FERTILE,Mix,Young,Deny,Male
3611,TAN,YORKSHIRE TERRIER,NORMAL,FERTILE,Pure,Adult,Deny,Male
3664,BLACK,BEAGLE,DEAD,ALTERED,Mix,Senior,Deny,Female
3668,BLUE MERLE,GREAT DANE,EMACIATED,FERTILE,Pure,Adult,Deny,Female
3735,BROWN BRINDLE,LABRADOR RETRIEVER,NORMAL,ALTERED,Mix,Baby,Deny,Male
3761,BROWN,PIT BULL TERRIER,NURSING,UNKNOWN,Mix,,Deny,Male
3789,BROWN,BOXER,AGED,ALTERED,Pure,Senior,Deny,Male
3818,BLACK,RAT TERRIER,OTHER,FERTILE,Two,Adult,Deny,Female
3832,BLACK,SHIH TZU,SICK,FERTILE,Pure,Senior,Deny,Male
3848,BLACK,LABRADOR RETRIEVER,NORMAL,FERTILE,Mix,Baby,Deny,Male
3861,TRICOLOR,GERMAN SHEPHERD DOG,OTHER,ALTERED,Pure,Adult,Deny,Male
3867,BLACK,GREAT PYRENEES,DEAD,FERTILE,Two,Young,Deny,Female
3871,WHITE,PIT BULL TERRIER,NORMAL,ALTERED,Pure,Young,Deny,Female
3910,BLACK,BORDER COLLIE,AGED,ALTERED,Mix,Senior,Deny,Male
3912,FAWN,LABRADOR RETRIEVER,NORMAL,FERTILE,Mix,Adult,Deny,Female
3913,BLACK,GERMAN SHEPHERD DOG,NORMAL,ALTERED,Pure,Young,Deny,Female
3934,BROWN,WELSH CORGI - PEMBROKE,NORMAL,ALTERED,Mix,Adult,Take,Male
3953,TAN,BASSET HOUND,NORMAL,ALTERED,Pure,Young,Take,Male
3954,BLACK BRINDLE,AMERICAN BULLDOG,FEARFUL,FERTILE,Two,Young,Deny,Male
4004,BLUE MERLE,PIT BULL TERRIER,NORMAL,FERTILE,Pure,,Deny,Male
4017,BROWN,BULL TERRIER,NORMAL,FERTILE,Pure,Adult,Deny,Female
4032,BLACK,LABRADOR RETRIEVER,PREGNANT,FERTILE,Two,Young,Deny,Female
4037,BLACK,CHIHUAHUA - SMOOTH COATED,NORMAL,ALTERED,Pure,Senior,Deny,Male
4038,BLACK,ROTTWEILER,NORMAL,FERTILE,Two,Young,Take,Male
4049,BLACK,LABRADOR RETRIEVER,AGED,ALTERED,Mix,Senior,Deny,Female
4063,BLACK,MANCHESTER TERRIER,FEARFUL,FERTILE,Pure,Young,Deny,Female
4064,SABLE,GERMAN SHEPHERD DOG,NORMAL,FERTILE,Mix,Young,Deny,Male
4072,BLACK,ROTTWEILER,SICK,FERTILE,Mix,Baby,Deny,Male
4076,WHITE,JACK RUSS TER,DEAD,FERTILE,Pure,Adult,Deny,Male
4078,CREAM,SIBERIAN HUSKY,AGGRESSIVE,ALTERED,Mix,Adult,Deny,Female
4105,TAN,SHETLAND SHEEPDOG,NORMAL,ALTERED,Two,Adult,Take,Male
4138,WHITE,BULL TERRIER,NORMAL,FERTILE,Two,Young,Deny,Female
4143,BLACK,LABRADOR RETRIEVER,NORMAL,FERTILE,Mix,Adult,Deny,Female
4144,BLACK,POODLE - TOY,NORMAL,FERTILE,Pure,Senior,Deny,Male
4145,TAN,WELSH CORGI - CARDIGAN,NORMAL,ALTERED,Mix,Young,Take,Female
4213,BROWN,AKITA,AGGRESSIVE,FERTILE,Pure,Adult,Deny,Male
4229,BROWN,DOBERMAN PINSCHER,NORMAL,ALTERED,Mix,,Take,Female
4233,BROWN BRINDLE,PIT BULL TERRIER,NORMAL,FERTILE,Mix,Baby,Deny,Male
4237,BROWN,PIT BULL TERRIER,NORMAL,ALTERED,Pure,Adult,Deny,Male
4244,WHITE,BASSET HOUND,NORMAL,ALTERED,Pure,Young,Take,Male
4246,BLACK,BLACK AND TAN COONOUND,SICK,ALTERED,Pure,Adult,Deny,Female
4251,BROWN,COCKER SPANIEL,NORMAL,ALTERED,Pure,Adult,Take,Male
4260,BLACK,TIBETAN TERRIER,NORMAL,ALTERED,Mix,Young,Take,Male
4264,YELLOW,LABRADOR RETRIEVER,NORMAL,FERTILE,Two,Adult,Deny,Female
4269,GOLD,PIT BULL TERRIER,NORMAL,ALTERED,Two,Senior,Deny,Male
4306,WHITE,GERMAN SHEPHERD DOG,FEARFUL,FERTILE,Mix,Adult,Deny,Female
4359,TAN,RAT TERRIER,NORMAL,ALTERED,Two,Baby,Take,Female
4374,WHITE,PIT BULL TERRIER,NORMAL,FERTILE,Mix,Baby,Deny,Female
4377,BROWN,CHIHUAHUA - SMOOTH COATED,NORMAL,ALTERED,Two,Adult,Take,Male
4414,BROWN,BORDER COLLIE,INJURED,FERTILE,Mix,Adult,Deny,Male
4433,WHITE,AMERICAN PIT BULL TERRIER,DEAD,FERTILE,Pure,Adult,Deny,Female
4437,TAN,SHETLAND SHEEPDOG,NORMAL,ALTERED,Two,Adult,Deny,Male
4438,BROWN BRINDLE,PLOTT HOUND,NORMAL,FERTILE,Two,Young,Deny,Male
4440,BLACK,LABRADOR RETRIEVER,NORMAL,FERTILE,Two,Young,Deny,Male
4441,BLACK,LABRADOR RETRIEVER,AGED,FERTILE,Pure,Senior,Deny,Male
4442,BLACK,GERMAN SHEPHERD DOG,INJURED,FERTILE,Pure,Senior,Deny,Female
4466,YELLOW,LABRADOR RETRIEVER,NORMAL,ALTERED,Pure,Adult,Take,Male
4469,CHOCOLATE,LABRADOR RETRIEVER,NORMAL,ALTERED,Pure,Young,Deny,Male
4478,BUFF,LABRADOR RETRIEVER,AGED,ALTERED,Mix,Senior,Deny,Female
4480,TAN,SWISS HOUND,NORMAL,FERTILE,Two,Young,Deny,Male
4515,TRICOLOR,JACK RUSS TER,INJURED,FERTILE,Mix,Senior,Deny,Female
4518,BLACK,MINIATURE PINSCHER,NORMAL,ALTERED,Pure,Adult,Deny,Male
4550,BLACK,CHIHUAHUA - SMOOTH COATED,DEAD,ALTERED,Two,Senior,Deny,Male
4554,BLACK,GERMAN SHEPHERD DOG,NURSING,FERTILE,Mix,Baby,Deny,Male
4556,WHITE,AMERICAN PIT BULL TERRIER,NORMAL,FERTILE,Pure,Young,Deny,Male
4564,BLACK,CHIHUAHUA - SMOOTH COATED,AGED,ALTERED,Mix,Senior,Deny,Female
4568,BLACK,GERMAN SHEPHERD DOG,NORMAL,FERTILE,Two,Adult,Deny,Female
4571,BROWN,PIT BULL TERRIER,AGGRESSIVE,FERTILE,Pure,Young,Deny,Male
4572,TRICOLOR,BEAGLE,NORMAL,ALTERED,Pure,Adult,Take,Male
4576,BROWN,AUSTRALIAN SHEPHERD,NORMAL,ALTERED,Mix,Young,Take,Female
4601,SABLE,GERMAN SHEPHERD DOG,DEAD,ALTERED,Pure,Senior,Deny,Female
4608,BLACK,DOBERMAN PINSCHER,DEAD,FERTILE,Pure,Adult,Deny,Female
4609,WHITE,CHIHUAHUA - SMOOTH COATED,NORMAL,UNKNOWN,Pure,Young,Deny,Male
4610,TAN,YORKSHIRE TERRIER,NORMAL,FERTILE,Mix,Adult,Deny,Female
4614,GRAY,GERMAN SHEPHERD DOG,AGED,ALTERED,Mix,Senior,Take,Female
4663,WHITE,GERMAN SHEPHERD DOG,NORMAL,FERTILE,Two,Young,Deny,Female
4680,TRICOLOR,BEAGLE,NORMAL,FERTILE,Pure,Adult,Deny,Male
4707,WHITE,BRUSSELS GRIFFON,NORMAL,FERTILE,Mix,Young,Deny,Female
4709,BLACK,YORKSHIRE TERRIER,OTHER,FERTILE,Pure,Adult,Deny,Female
4713,BROWN,PIT BULL TERRIER,NORMAL,FERTILE,Mix,Baby,Deny,Male
4754,GRAY,AUSTRALIAN CATTLE DOG,NORMAL,ALTERED,Pure,Adult,Take,Female
4755,BLACK,LABRADOR RETRIEVER,NORMAL,FERTILE,Mix,Senior,Deny,Female
4756,TAN,SHIBA INU,NORMAL,ALTERED,Mix,Adult,Take,Female
4771,WHITE,BEAGLE,NORMAL,ALTERED,Mix,Young,Deny,Male
4819,WHITE,JACK RUSS TER,PARVO,FERTILE,Mix,Young,Deny,Female
4820,BLACK,ROTTWEILER,NORMAL,FERTILE,Two,Baby,Deny,Female
4855,GRAY,SCHNAUZER - MINIATURE,AGED,FERTILE,Pure,Senior,Deny,Male
4860,BLACK,LABRADOR RETRIEVER,FEARFUL,ALTERED,Mix,Adult,Deny,Male
4871,GOLD,GOLDEN RETRIEVER,NORMAL,ALTERED,Pure,Senior,Deny,Male
4880,BLACK,LABRADOR RETRIEVER,AGGRESSIVE,FERTILE,Mix,Adult,Deny,Male
4882,WHITE,PIT BULL TERRIER,EMACIATED,FERTILE,Pure,Adult,Deny,Female
4890,BLACK,MINIATURE PINSCHER,FEARFUL,ALTERED,Pure,Adult,Deny,Male
4977,FAWN,PIT BULL TERRIER,NORMAL,FERTILE,Pure,Baby,Deny,Female
4988,BROWN BRINDLE,LABRADOR RETRIEVER,NORMAL,FERTILE,Mix,Young,Deny,Female
4990,BLACK,GERMAN SHEPHERD DOG,NORMAL,FERTILE,Pure,Adult,Deny,Female
4994,TAN,PIT BULL TERRIER,NORMAL,FERTILE,Pure,Adult,Deny,Female
4996,BLUE,PIT BULL TERRIER,NORMAL,FERTILE,Pure,Young,Deny,Female
5000,GRAY,PIT BULL TERRIER,INJURED,FERTILE,Pure,Adult,Deny,Male
5028,BROWN,GERMAN SHEPHERD DOG,NORMAL,ALTERED,Mix,Adult,Deny,Female
5029,BLACK,LABRADOR RETRIEVER,FEARFUL,ALTERED,Mix,Baby,Take,Female
5059,BROWN,CHIHUAHUA - SMOOTH COATED,NORMAL,ALTERED,Two,Young,Deny,Male
5065,RED,FINNISH SPITZ,NORMAL,FERTILE,Two,Baby,Deny,Male
5074,BLACK,BEAGLE,NORMAL,FERTILE,Mix,Adult,Deny,Female
5080,TRICOLOR,BASSET HOUND,AGED,ALTERED,Pure,Senior,Deny,Male
5097,BROWN,BORDER COLLIE,NORMAL,ALTERED,Two,Young,Deny,Female
5098,GRAY,SHETLAND SHEEPDOG,NORMAL,FERTILE,Pure,Adult,Deny,Male
5100,WHITE,ENGLISH SPRINGER SPANIEL,NORMAL,ALTERED,Pure,Adult,Take,Male
5103,BROWN BRINDLE,GERMAN SHEPHERD DOG,NORMAL,ALTERED,Mix,Baby,Take,Male
5106,BLACK,BORDER COLLIE,NORMAL,ALTERED,Mix,Adult,Deny,Female
5107,BLACK,PIT BULL TERRIER,NURSING,UNKNOWN,Mix,,Deny,Male
5108,YELLOW,LABRADOR RETRIEVER,NORMAL,FERTILE,Pure,Adult,Deny,Male
5110,WHITE,PIT BULL TERRIER,AGGRESSIVE,FERTILE,Pure,Adult,Deny,Male
5133,BLACK,CHIHUAHUA - SMOOTH COATED,NORMAL,FERTILE,Pure,Young,Deny,Male
5138,BROWN,BEAGLE,DEAD,ALTERED,Two,Senior,Deny,Female
5158,WHITE,PARSON (JACK) RUSSELL TERRIER,NORMAL,FERTILE,Mix,Adult,Take,Male
