,PrimaryColor,PrimaryBreed,IntakeInternalStatus,ReproductiveStatusAtIntake,BreedCategory,Pet_age_category,BinaryOutcome,Sex
91657,TAN,YORKSHIRE TERRIER,NORMAL,ALTERED,Two,Adult,Take,Female
91665,BROWN,COLLIE - ROUGH,SICK,FERTILE,Mix,Baby,Deny,Female
91668,BROWN BRINDLE,PIT BULL TERRIER,NORMAL,FERTILE,Pure,Baby,Deny,Female
91672,WHITE,JACK RUSS TER,OTHER,ALTERED,Pure,Senior,Take,Male
91673,GRAY,BEAGLE,NORMAL,FERTILE,Pure,Senior,Deny,Male
91676,WHITE,BICHON FRISE,DEAD,ALTERED,Pure,Adult,Deny,Male
91678,BROWN,BOXER,NORMAL,FERTILE,Mix,Young,Deny,Female
91681,BLACK,LABRADOR RETRIEVER,AGED,ALTERED,Pure,Senior,Take,Female
91682,BROWN,COLLIE - ROUGH,NORMAL,ALTERED,Mix,Adult,Deny,Male
91684,BLACK,LABRADOR RETRIEVER,OTHER,FERTILE,Mix,Adult,Deny,Male
91686,BROWN,CHINESE SHARPEI,DEAD,ALTERED,Pure,Adult,Deny,Male
91693,TRICOLOR,BASSET HOUND,NORMAL,ALTERED,Pure,Senior,Deny,Male
91694,BLACK,BOSTON TERRIER,SICK,ALTERED,Pure,Senior,Deny,Female
91695,TAN,YORKSHIRE TERRIER,NORMAL,ALTERED,Pure,Adult,Take,Male
91698,BLACK,LABRADOR RETRIEVER,NORMAL,FERTILE,Mix,,Deny,Female
91699,RED,POMERANIAN,AGED,ALTERED,Pure,Senior,Deny,Male
91700,BLACK,BORDER COLLIE,AGED,ALTERED,Pure,Senior,Deny,Male
91703,BROWN BRINDLE,PIT BULL TERRIER,INJURED,FERTILE,Pure,Adult,Deny,Male
91707,BLUE,PIT BULL TERRIER,NORMAL,FERTILE,Pure,Young,Deny,Male
91726,BLACK,CHIHUAHUA - SMOOTH COATED,SICK,FERTILE,Pure,Young,Deny,Female
91729,BLACK,CHIHUAHUA - SMOOTH COATED,PARVO,FERTILE,Pure,Baby,Deny,Male
91732,BROWN,BOXER,AGED,FERTILE,Pure,Adult,Deny,Male
91735,BLACK,CHOW CHOW,FEARFUL,FERTILE,Mix,Young,Deny,Male
91738,BLACK,PIT BULL TERRIER,NORMAL,FERTILE,Pure,Adult,Deny,Male
91741,BLACK,SHIH TZU,NORMAL,ALTERED,Two,Adult,Take,Male
91742,BROWN BRINDLE,PLOTT HOUND,OTHER,FERTILE,Two,Young,Deny,Female
91744,FAWN,PIT BULL TERRIER,NORMAL,FERTILE,Pure,Young,Deny,Male
91746,BROWN MERLE,DACHSHUND - LONGHAIRED,NORMAL,ALTERED,Pure,Young,Deny,Male
91752,WHITE,LABRADOR RETRIEVER,NORMAL,ALTERED,Two,Adult,Deny,Female
91755,WHITE,JACK RUSS TER,NORMAL,FERTILE,Mix,Young,Deny,Male
91758,BLACK,PIT BULL TERRIER,AGGRESSIVE,FERTILE,Pure,Young,Deny,Female
91759,BLUE,PIT BULL TERRIER,OTHER,FERTILE,Pure,Adult,Deny,Female
91762,RED,MINIATURE PINSCHER,NORMAL,ALTERED,Pure,Adult,Deny,Male
91764,RED,BOXER,NORMAL,FERTILE,Two,Baby,Deny,Female
91769,BLACK,STAFFORDSHIRE BULL TERRIER,NORMAL,FERTILE,Mix,Young,Deny,Male
91770,WHITE,SHIH TZU,AGGRESSIVE,FERTILE,Pure,Senior,Deny,Female
91773,BLACK,LABRADOR RETRIEVER,NORMAL,FERTILE,Pure,Young,Deny,Male
91774,BROWN,JACK RUSS TER,NORMAL,ALTERED,Pure,Adult,Deny,Male
91778,GRAY,YORKSHIRE TERRIER,OTHER,ALTERED,Pure,Senior,Take,Female
91786,BLACK,ROTTWEILER,DEAD,FERTILE,Pure,Senior,Deny,Female
91789,WHITE,PIT BULL TERRIER,NORMAL,FERTILE,Pure,Adult,Deny,Male
91790,BROWN BRINDLE,BOXER,NORMAL,FERTILE,Pure,Adult,Deny,Male
91793,WHITE,AMERICAN ESKIMO,DEAD,FERTILE,Pure,Senior,Deny,Female
91794,FAWN,BOXER,SICK,ALTERED,Pure,Senior,Deny,Female
91799,TAN,BOXER,DEAD,ALTERED,Pure,Senior,Deny,Female
91807,RED,CHINESE SHARPEI,NORMAL,ALTERED,Mix,Young,Deny,Male
91810,BROWN BRINDLE,PIT BULL TERRIER,NORMAL,FERTILE,Pure,Young,Deny,Female
91816,GRAY,SHIH TZU,NORMAL,ALTERED,Two,Adult,Deny,Male
91817,BLACK,RAT TERRIER,NORMAL,FERTILE,Mix,,Deny,Female
91820,TAN,CHINESE SHARPEI,NORMAL,ALTERED,Two,Senior,Deny,Female
91822,TRICOLOR,AUSTRALIAN SHEPHERD,NORMAL,ALTERED,Pure,Adult,Deny,Female
91828,BROWN,AUSTRALIAN CATTLE DOG,SICK,FERTILE,Pure,Adult,Deny,Female
91838,BLUE,AMERICAN PIT BULL TERRIER,NORMAL,FERTILE,Pure,Young,Deny,Female
91840,BLACK,COLLIE - SMOOTH,NORMAL,ALTERED,Mix,Baby,Deny,Male
91842,WHITE,POODLE - MINIATURE,INJURED,FERTILE,Pure,Adult,Deny,Male
91845,BLACK,GERMAN SHEPHERD DOG,NORMAL,ALTERED,Two,Senior,Deny,Female
91846,BROWN,PIT BULL TERRIER,SICK,FERTILE,Pure,Baby,Deny,Female
91850,BLACK,AUSTRALIAN CATTLE DOG,NORMAL,ALTERED,Mix,Senior,Deny,Male
91852,WHITE,PIT BULL TERRIER,OTHER,ALTERED,Pure,Young,Take,Male
91853,BLACK,LABRADOR RETRIEVER,NORMAL,FERTILE,Mix,Young,Deny,Female
91854,BLUE MERLE,CATAHOULA LEOPARD HOUND,NORMAL,ALTERED,Two,Baby,Take,Male
91856,BLUE,PIT BULL TERRIER,OTHER,FERTILE,Pure,Adult,Deny,Male
91860,WHITE,PIT BULL TERRIER,NORMAL,FERTILE,Pure,Young,Deny,Female
91862,TAN,PIT BULL TERRIER,DEAD,FERTILE,Pure,Senior,Deny,Male
91864,BLACK,FLAT-COATED RETRIEVER,NORMAL,FERTILE,Mix,Baby,Deny,Female
91866,RED,BEAGLE,NORMAL,ALTERED,Pure,Senior,Deny,Male
91869,BLACK,CHIHUAHUA - SMOOTH COATED,FEARFUL,FERTILE,Mix,Adult,Deny,Female
91871,BLACK,BORDER COLLIE,NORMAL,ALTERED,Pure,Adult,Deny,Male
91876,BROWN,BEAGLE,EMACIATED,FERTILE,Two,Young,Deny,Male
91877,RED,SIBERIAN HUSKY,INJURED,ALTERED,Pure,Senior,Deny,Female
91878,BLACK,MASTIFF,SICK,FERTILE,Two,Adult,Deny,Male
91879,BROWN,AMERICAN BULLDOG,PREGNANT,FERTILE,Mix,Young,Deny,Female
91883,BLACK,PIT BULL TERRIER,NORMAL,FERTILE,Pure,Young,Deny,Female
91884,BLACK,BORDER COLLIE,NORMAL,ALTERED,Mix,Adult,Deny,Female
91885,BLACK,GERMAN SHEPHERD DOG,INJURED,FERTILE,Pure,Adult,Deny,Male
91886,BLACK BRINDLE,PIT BULL TERRIER,NORMAL,FERTILE,Pure,Young,Deny,Male
91887,BROWN,LABRADOR RETRIEVER,NORMAL,FERTILE,Pure,Baby,Deny,Female
91888,BLACK,CHOW CHOW,SICK,ALTERED,Pure,Senior,Deny,Female
91896,BROWN BRINDLE,PIT BULL TERRIER,NORMAL,FERTILE,Mix,Adult,Deny,Female
91898,BROWN,PIT BULL TERRIER,NURSING,UNKNOWN,Mix,,Deny,Male
91906,TRICOLOR,BEAGLE,SICK,FERTILE,Pure,Adult,Deny,Male
91930,BLACK,LABRADOR RETRIEVER,NORMAL,ALTERED,Pure,Adult,Take,Male
91931,BROWN,PIT BULL TERRIER,NORMAL,ALTERED,Mix,Young,Take,Female
91932,TAN,PIT BULL TERRIER,INJURED,FERTILE,Pure,Adult,Deny,Male
91935,WHITE,COLLIE - SMOOTH,AGED,ALTERED,Mix,,Deny,Female
91949,TRICOLOR,BEAGLE,DEAD,ALTERED,Pure,Adult,Deny,Male
91950,WHITE,AMERICAN STAFFORDSHIRE TERRIER,NORMAL,ALTERED,Pure,Adult,Deny,Male
91951,BROWN,PIT BULL TERRIER,FEARFUL,FERTILE,Pure,Adult,Deny,Female
91956,WHITE,PIT BULL TERRIER,NORMAL,ALTERED,Two,Young,Take,Male
91965,TRICOLOR,PIT BULL TERRIER,NORMAL,ALTERED,Mix,Young,Deny,Female
91967,BLACK,SCOTTISH TERRIER,NORMAL,ALTERED,Pure,Young,Take,Female
91970,GRAY,OLD ENGLISH SHEEPDOG,INJURED,ALTERED,Two,Senior,Deny,Male
91971,BROWN,TIBETAN TERRIER,AGED,ALTERED,Pure,Senior,Deny,Male
91972,WHITE,PIT BULL TERRIER,FEARFUL,FERTILE,Pure,Adult,Deny,Male
91973,WHITE,MALTESE,NORMAL,FERTILE,Pure,Senior,Deny,Male
91974,TAN,YORKSHIRE TERRIER,INJURED,FERTILE,Two,Senior,Deny,Female
91975,BLACK,RAT TERRIER,OTHER,FERTILE,Mix,Senior,Deny,Female
91978,WHITE,PIT BULL TERRIER,NORMAL,FERTILE,Pure,Adult,Deny,Male
91983,BLACK,TIBETAN SPANIEL,NORMAL,ALTERED,Pure,Adult,Deny,Female
91988,TAN,PIT BULL TERRIER,AGGRESSIVE,FERTILE,Pure,Young,Deny,Female
91998,WHITE,BOXER,NORMAL,ALTERED,Mix,Adult,Take,Female
91999,BLACK,POODLE - MINIATURE,NORMAL,ALTERED,Pure,Adult,Take,Male
92001,BROWN,DACHSHUND,EMACIATED,ALTERED,Mix,Young,Take,Female
92003,BLUE,SHIH TZU,AGED,ALTERED,Two,Senior,Deny,Female
92004,BLACK,PIT BULL TERRIER,NURSING,UNKNOWN,Mix,,Deny,Male
92005,BROWN,BEAGLE,NORMAL,ALTERED,Mix,Baby,Take,Male
92018,TAN,PIT BULL TERRIER,INJURED,FERTILE,Pure,Baby,Deny,Female
92021,TAN,BULLMASTIFF,NORMAL,FERTILE,Mix,Young,Deny,Female
92024,BLACK,ROTTWEILER,NORMAL,ALTERED,Mix,Baby,Deny,Male
92028,TAN,GERMAN SHEPHERD DOG,NORMAL,FERTILE,Pure,Young,Deny,Female
92030,BLACK,LABRADOR RETRIEVER,NORMAL,ALTERED,Pure,Adult,Deny,Female
92034,WHITE,FEIST,NORMAL,FERTILE,Pure,Adult,Deny,Male
92037,BROWN,MINIATURE PINSCHER,EMACIATED,FERTILE,Mix,Baby,Deny,Female
92040,GOLD,POODLE - MINIATURE,NORMAL,ALTERED,Pure,Senior,Deny,Male
92044,BLACK,PIT BULL TERRIER,SICK,ALTERED,Pure,Adult,Deny,Female
92046,WHITE,ALASKAN MALAMUTE,AGED,ALTERED,Mix,Senior,Deny,Female
92049,GRAY,PIT BULL TERRIER,NORMAL,FERTILE,Pure,Young,Deny,Female
92050,BROWN,BASSET HOUND,DEAD,ALTERED,Pure,Senior,Deny,Male
92053,BROWN BRINDLE,PIT BULL TERRIER,SICK,FERTILE,Mix,Young,Deny,Male
92055,BROWN,BASSET HOUND,SICK,FERTILE,Mix,Adult,Deny,Male
92057,WHITE,PIT BULL TERRIER,NORMAL,FERTILE,Pure,Baby,Deny,Female
92059,BLACK,ALASKAN MALAMUTE,NORMAL,ALTERED,Mix,Adult,Deny,Male
92064,YELLOW,LABRADOR RETRIEVER,AGED,ALTERED,Two,Senior,Deny,Female
92065,BLACK BRINDLE,PIT BULL TERRIER,FEARFUL,FERTILE,Mix,Adult,Deny,Male
92067,BLACK,PIT BULL TERRIER,OTHER,FERTILE,Pure,Adult,Deny,Male
92068,BROWN,GERMAN SHEPHERD DOG,NORMAL,ALTERED,Pure,Adult,Deny,Male
92069,BLACK,CHIHUAHUA - SMOOTH COATED,NORMAL,FERTILE,Mix,Baby,Deny,Female
92076,BLUE MERLE,DACHSHUND,INJURED,FERTILE,Pure,Baby,Deny,Female
92077,BROWN,BEAGLE,INJURED,FERTILE,Pure,Baby,Deny,Female
92079,BLACK,POODLE - TOY,AGED,ALTERED,Pure,Senior,Deny,Female
92081,BROWN BRINDLE,AMERICAN PIT BULL TERRIER,AGGRESSIVE,FERTILE,Pure,Young,Deny,Male
92087,BLACK BRINDLE,DOBERMAN PINSCHER,AGED,ALTERED,Mix,Senior,Deny,Female
92089,BLACK,SCHNAUZER - MINIATURE,INJURED,FERTILE,Two,Senior,Deny,Male
92090,BLACK,ROTTWEILER,NORMAL,FERTILE,Pure,,Deny,Female
92094,BROWN,BORDER COLLIE,FEARFUL,FERTILE,Two,Adult,Deny,Male
92099,BLACK,COLLIE - ROUGH,NORMAL,FERTILE,Pure,Young,Deny,Male
92100,BLACK,GERMAN SHEPHERD DOG,NORMAL,ALTERED,Pure,Senior,Deny,Male
92101,BLACK,PIT BULL TERRIER,NORMAL,FERTILE,Pure,Young,Deny,Female
92105,APRICOT,COCKER SPANIEL,NORMAL,ALTERED,Pure,Adult,Take,Female
92106,BLACK,CHOW CHOW,EMACIATED,FERTILE,Mix,Senior,Deny,Female
92112,GRAY,SCHNAUZER - MINIATURE,NORMAL,ALTERED,Pure,Senior,Take,Female
92115,TAN,BOXER,AGGRESSIVE,ALTERED,Pure,Senior,Deny,Male
92119,GRAY,JACK RUSS TER,NORMAL,FERTILE,Pure,Young,Deny,Female
92124,BLACK,DOBERMAN PINSCHER,NORMAL,FERTILE,Two,Young,Deny,Male
92125,GOLD,BEAGLE,OBESE,FERTILE,Mix,Adult,Deny,Female
92131,WHITE,SHIH TZU,NORMAL,ALTERED,Pure,Adult,Deny,Male
92135,GRAY,CANE CORSO,NURSING,FERTILE,Pure,Baby,Deny,Male
92140,BLACK,LABRADOR RETRIEVER,NORMAL,ALTERED,Mix,Adult,Deny,Female
92141,BLACK,BEAGLE,NORMAL,ALTERED,Mix,Senior,Take,Female
92143,BROWN,BULLMASTIFF,AGGRESSIVE,FERTILE,Pure,Young,Deny,Female
92144,BLACK,LABRADOR RETRIEVER,NORMAL,FERTILE,Pure,Young,Deny,Male
92145,BROWN,PIT BULL TERRIER,NORMAL,FERTILE,Pure,Young,Deny,Female
92151,BLACK,PIT BULL TERRIER,NORMAL,FERTILE,Pure,Young,Deny,Female
92175,BLACK,LABRADOR RETRIEVER,NORMAL,ALTERED,Pure,Senior,Take,Female
92179,SILVER,SIBERIAN HUSKY,AGED,FERTILE,Mix,Senior,Deny,Female
92183,BLACK,LABRADOR RETRIEVER,FEARFUL,FERTILE,Two,Young,Deny,Male
92184,TRICOLOR,JACK RUSS TER,NORMAL,ALTERED,Pure,Adult,Take,Male
92185,TAN,PIT BULL TERRIER,DEAD,ALTERED,Mix,Senior,Deny,Female
92186,GRAY,SHIH TZU,AGED,FERTILE,Pure,Senior,Deny,Female
92195,RED,PIT BULL TERRIER,NORMAL,FERTILE,Pure,Young,Deny,Male
92196,BLACK,BOSTON TERRIER,NORMAL,ALTERED,Pure,Young,Take,Male
92200,RED,CHOW CHOW,NORMAL,ALTERED,Pure,Adult,Deny,Male
92203,WHITE,PIT BULL TERRIER,NURSING,FERTILE,Pure,Young,Deny,Female
92205,BLACK,ROTTWEILER,INJURED,ALTERED,Pure,Senior,Deny,Female
92206,TRICOLOR,AUSTRALIAN CATTLE DOG,FEARFUL,FERTILE,Two,Adult,Deny,Male
92217,BLACK,BOXER,NORMAL,ALTERED,Two,Young,Deny,Male
92227,BLACK,LABRADOR RETRIEVER,HEARTWORM,ALTERED,Pure,Senior,Deny,Female
92228,BLACK,NEWFOUNDLAND,SICK,FERTILE,Pure,Baby,Deny,Female
92232,WHITE,BORDER COLLIE,AGED,FERTILE,Two,Senior,Deny,Female
92236,BROWN,BEAGLE,NORMAL,ALTERED,Pure,Adult,Take,Male
92237,WHITE,PIT BULL TERRIER,SICK,FERTILE,Mix,Young,Deny,Male
92241,FAWN,CHINESE SHARPEI,SICK,FERTILE,Pure,Senior,Deny,Female
92244,BROWN,BASSET HOUND,OTHER,FERTILE,Pure,Senior,Deny,Male
92245,RED MERLE,AUSTRALIAN SHEPHERD,NORMAL,ALTERED,Pure,Young,Deny,Male
92246,SILVER,WEIMARANER,OBESE,ALTERED,Pure,Senior,Deny,Female
92247,BLACK,ROTTWEILER,AGGRESSIVE,FERTILE,Pure,Adult,Deny,Male
92249,WHITE,PIT BULL TERRIER,SICK,FERTILE,Pure,Adult,Deny,Female
92253,BROWN,JACK RUSS TER,AGGRESSIVE,ALTERED,Pure,Young,Deny,Male
92256,BLUE,PIT BULL TERRIER,OTHER,FERTILE,Pure,Baby,Deny,Female
92258,BLACK,YORKSHIRE TERRIER,DEAD,ALTERED,Pure,Senior,Deny,Male
92260,TAN,PIT BULL TERRIER,FEARFUL,FERTILE,Pure,Adult,Deny,Female
92277,CREAM,SIBERIAN HUSKY,INJURED,ALTERED,Mix,Senior,Deny,Male
92284,BLACK,CATAHOULA LEOPARD HOUND,AGGRESSIVE,ALTERED,Mix,Adult,Deny,Female
92289,BROWN,PUG,SICK,FERTILE,Two,Young,Deny,Male
92290,BROWN BRINDLE,PIT BULL TERRIER,NORMAL,FERTILE,Pure,Young,Deny,Male
92291,BLACK,LABRADOR RETRIEVER,SICK,ALTERED,Mix,Senior,Deny,Male
92294,BROWN,GERMAN SHEPHERD DOG,NORMAL,FERTILE,Two,Baby,Deny,Female
92295,BROWN,GERMAN SHEPHERD DOG,SICK,FERTILE,Pure,Adult,Deny,Male
92297,BLACK,GERMAN SHEPHERD DOG,NORMAL,ALTERED,Mix,Young,Deny,Female
92299,WHITE,CHIHUAHUA - SMOOTH COATED,OTHER,FERTILE,Pure,Adult,Deny,Male
92300,BROWN,FEIST,AGGRESSIVE,ALTERED,Mix,Adult,Take,Female
92301,BROWN,CHIHUAHUA - SMOOTH COATED,INJURED,FERTILE,Pure,Baby,Deny,Female
92303,TAN,ST BERNARD - ROUGH COATED,NORMAL,FERTILE,Mix,Young,Deny,Male
92305,WHITE,POODLE - MINIATURE,FEARFUL,ALTERED,Pure,Senior,Deny,Female
92306,WHITE,BORDER COLLIE,NORMAL,ALTERED,Pure,Adult,Take,Female
92312,BLACK,BORDER COLLIE,NORMAL,ALTERED,Pure,Adult,Deny,Female
92321,BROWN,PIT BULL TERRIER,NORMAL,FERTILE,Pure,Adult,Deny,Male
92325,BLACK,PIT BULL TERRIER,OTHER,FERTILE,Pure,Baby,Deny,Male
92327,BLACK,ROTTWEILER,SICK,UNKNOWN,Mix,Baby,Deny,Male
92329,TAN,YORKSHIRE TERRIER,NORMAL,ALTERED,Pure,Senior,Deny,Male
92330,TAN,PIT BULL TERRIER,SICK,FERTILE,Pure,Young,Deny,Female
92336,BROWN,GERMAN SHEPHERD DOG,FEARFUL,FERTILE,Mix,Adult,Deny,Female
92337,BROWN BRINDLE,CANE CORSO,AGGRESSIVE,FERTILE,Pure,Young,Deny,Female
92338,BLACK BRINDLE,RAT TERRIER,NORMAL,ALTERED,Mix,Senior,Deny,Male
92339,BLACK,PIT BULL TERRIER,AGGRESSIVE,ALTERED,Pure,Adult,Deny,Male
92340,BLACK,POODLE - TOY,AGED,ALTERED,Mix,Senior,Deny,Female
92341,WHITE,AMERICAN BULLDOG,NORMAL,ALTERED,Mix,,Take,Male
92342,BLUE,PIT BULL TERRIER,NORMAL,ALTERED,Pure,Adult,Deny,Female
92344,YELLOW,LABRADOR RETRIEVER,NORMAL,ALTERED,Mix,Adult,Take,Male
92346,CREAM,PEKINGESE,AGED,ALTERED,Pure,Senior,Deny,Male
92348,WHITE,GREAT PYRENEES,SICK,ALTERED,Pure,Adult,Deny,Female
92356,RED,CHOW CHOW,AGGRESSIVE,FERTILE,Mix,Adult,Deny,Female
92357,TAN,AMERICAN BULLDOG,OTHER,FERTILE,Mix,Adult,Deny,Male
92362,BLACK,DACHSHUND,AGG PEOPLE,FERTILE,Pure,Senior,Deny,Female
92365,BLACK BRINDLE,LABRADOR RETRIEVER,NORMAL,ALTERED,Two,Adult,Deny,Female
92376,CREAM,POMERANIAN,OTHER,ALTERED,Mix,Adult,Take,Male
92377,BLACK,AUSTRALIAN CATTLE DOG,NORMAL,ALTERED,Mix,Adult,Take,Male
92378,TAN,PEKINGESE,OTHER,FERTILE,Mix,Senior,Deny,Male
92381,TAN,CHOW CHOW,NORMAL,ALTERED,Mix,Adult,Take,Female
92382,WHITE,BEAGLE,INJURED,ALTERED,Pure,Adult,Deny,Male
92383,BROWN,PIT BULL TERRIER,NORMAL,FERTILE,Pure,Young,Deny,Male
92386,WHITE,PIT BULL TERRIER,INJURED,FERTILE,Pure,Young,Deny,Female
92391,BLACK,YORKSHIRE TERRIER,DEAD,FERTILE,Pure,Adult,Deny,Male
92395,RED,REDBONE COONHOUND,NORMAL,ALTERED,Pure,Adult,Take,Female
92402,TAN,SHIH TZU,NORMAL,ALTERED,Pure,Adult,Take,Female
92405,BROWN,GERMAN SHEPHERD DOG,SICK,FERTILE,Pure,Senior,Deny,Male
92408,WHITE,PIT BULL TERRIER,INJURED,FERTILE,Pure,Baby,Deny,Female
92409,WHITE,PIT BULL TERRIER,AGED,FERTILE,Pure,Senior,Deny,Male
92410,BROWN,BOXER,INJURED,ALTERED,Two,Adult,Deny,Male
92415,BLUE,PIT BULL TERRIER,OTHER,FERTILE,Pure,Adult,Deny,Male
92417,BLACK,LABRADOR RETRIEVER,INJURED,UNKNOWN,Pure,Adult,Deny,Male
92418,FAWN,PIT BULL TERRIER,OTHER,ALTERED,Pure,Adult,Deny,Female
92422,BROWN,PIT BULL TERRIER,NORMAL,FERTILE,Pure,Adult,Deny,Male
92424,BLACK,GERMAN SHEPHERD DOG,NORMAL,FERTILE,Mix,Young,Deny,Male
92427,YELLOW,LABRADOR RETRIEVER,NORMAL,ALTERED,Pure,Adult,Deny,Male
92429,BLACK,PIT BULL TERRIER,NORMAL,FERTILE,Pure,Young,Deny,Female
92431,BROWN,PIT BULL TERRIER,OTHER,FERTILE,Pure,Adult,Deny,Male
92432,BROWN,LABRADOR RETRIEVER,FEARFUL,FERTILE,Two,Senior,Deny,Female
92434,BLACK,BEAGLE,NORMAL,FERTILE,Two,Young,Deny,Female
92435,WHITE,PIT BULL TERRIER,AGGRESSIVE,FERTILE,Pure,Young,Deny,Female
92436,BROWN BRINDLE,ITALIAN GREYHOUND,NORMAL,ALTERED,Pure,Adult,Take,Female
92438,BLACK,LABRADOR RETRIEVER,NORMAL,ALTERED,Mix,Young,Take,Female
92439,SILVER,SIBERIAN HUSKY,AGED,ALTERED,Pure,Senior,Take,Male
92440,BROWN,AMERICAN STAFFORDSHIRE TERRIER,INJURED,FERTILE,Pure,Adult,Deny,Female
92444,BROWN,BEAGLE,AGGRESSIVE,FERTILE,Mix,Senior,Deny,Male
92447,BLACK,ROTTWEILER,NURSING,UNKNOWN,Mix,,Deny,Male
92449,BUFF,POMERANIAN,AGED,ALTERED,Pure,Senior,Deny,Male
92450,WHITE,MALTESE,NORMAL,FERTILE,Pure,Adult,Deny,Female
92452,BLACK,PIT BULL TERRIER,NORMAL,FERTILE,Pure,Adult,Deny,Male
92454,TAN,PIT BULL TERRIER,PARVO,FERTILE,Pure,Young,Deny,Male
92458,BLACK,BOSTON TERRIER,NORMAL,ALTERED,Mix,Young,Take,Female
92463,TRICOLOR,BEAGLE,NORMAL,ALTERED,Mix,Adult,Deny,Male
92466,WHITE,BULL TERRIER,NORMAL,FERTILE,Two,Young,Deny,Female
92467,BLACK,BLACK AND TAN COONOUND,NORMAL,FERTILE,Pure,Adult,Deny,Female
92468,BLACK,PIT BULL TERRIER,NORMAL,FERTILE,Mix,Baby,Deny,Male
92470,TAN,POMERANIAN,AGGRESSIVE,FERTILE,Two,Senior,Deny,Female
92472,WHITE,AMERICAN BULLDOG,NORMAL,FERTILE,Pure,Adult,Deny,Female
92473,TAN,GERMAN SHEPHERD DOG,FEARFUL,FERTILE,Mix,Adult,Deny,Female
92474,BLACK,PIT BULL TERRIER,AGG PEOPLE,FERTILE,Mix,Baby,Deny,Female
92486,BROWN,PIT BULL TERRIER,NORMAL,FERTILE,Pure,Young,Deny,Female
92491,GRAY,POODLE - MINIATURE,SICK,ALTERED,Pure,Senior,Deny,Female
92493,SILVER,YORKSHIRE TERRIER,NORMAL,FERTILE,Mix,Senior,Deny,Male
92494,BLACK,LABRADOR RETRIEVER,NORMAL,ALTERED,Two,Adult,Deny,Male
92496,BROWN,CHIHUAHUA - SMOOTH COATED,NORMAL,ALTERED,Mix,Senior,Deny,Male
92503,BROWN BRINDLE,KOREAN JINDO,NURSING,FERTILE,Two,,Deny,Male
92509,YELLOW,GOLDEN RETRIEVER,SICK,ALTERED,Mix,Senior,Deny,Male
92513,WHITE,PIT BULL TERRIER,NORMAL,FERTILE,Pure,Adult,Deny,Male
92516,BROWN,PIT BULL TERRIER,NORMAL,FERTILE,Pure,Adult,Deny,Female
92519,WHITE,LHASA APSO,SICK,ALTERED,Pure,Senior,Deny,Male
92532,BLACK,LABRADOR RETRIEVER,NORMAL,FERTILE,Mix,Baby,Deny,Female
92533,YELLOW,LABRADOR RETRIEVER,NORMAL,FERTILE,Pure,Young,Deny,Female
92535,WHITE,POODLE - MINIATURE,FEARFUL,FERTILE,Mix,Adult,Deny,Female
92543,BROWN,AMERICAN BULLDOG,NORMAL,FERTILE,Pure,Baby,Deny,Male
92547,YELLOW,LABRADOR RETRIEVER,SICK,ALTERED,Pure,Senior,Deny,Male
92548,WHITE,PIT BULL TERRIER,NORMAL,ALTERED,Pure,Young,Take,Female
92549,BLACK,CHIHUAHUA - SMOOTH COATED,DEAD,FERTILE,Mix,Adult,Deny,Female
92551,BLACK,ROTTWEILER,NORMAL,ALTERED,Pure,Adult,Deny,Male
92554,GOLD,COLLIE - SMOOTH,DEAD,FERTILE,Pure,Senior,Deny,Female
92557,BLACK,CHOW CHOW,NURSING,UNKNOWN,Mix,,Deny,Male
92558,BLACK,JACK RUSS TER,AGGRESSIVE,ALTERED,Pure,Senior,Deny,Female
92563,BLACK,AUSTRALIAN SHEPHERD,INJURED,FERTILE,Pure,Senior,Deny,Male
92564,BLACK,CHIHUAHUA - SMOOTH COATED,NORMAL,ALTERED,Two,Adult,Take,Male
92565,GRAY,YORKSHIRE TERRIER,NORMAL,ALTERED,Two,Adult,Deny,Male
92566,GRAY,PIT BULL TERRIER,NORMAL,FERTILE,Two,Adult,Deny,Male
92575,WHITE,MALTESE,NORMAL,FERTILE,Pure,Adult,Deny,Male
92576,BROWN,CHOW CHOW,AGED,FERTILE,Pure,Senior,Deny,Female
92577,BROWN,JACK RUSS TER,NORMAL,ALTERED,Mix,Young,Deny,Male
92578,BLACK,BORDER COLLIE,FEARFUL,FERTILE,Mix,Adult,Deny,Male
92580,BLACK,POODLE - MINIATURE,AGED,FERTILE,Pure,Senior,Deny,Female
92584,BLACK,SHIH TZU,OTHER,FERTILE,Pure,Adult,Deny,Male
92588,CHOCOLATE,LABRADOR RETRIEVER,NORMAL,ALTERED,Pure,Adult,Take,Male
92592,BLACK,PIT BULL TERRIER,NORMAL,ALTERED,Pure,Young,Deny,Male
92593,BLACK,GERMAN SHEPHERD DOG,OTHER,FERTILE,Mix,Young,Deny,Male
92596,BROWN,STAFFORDSHIRE BULL TERRIER,NORMAL,FERTILE,Pure,Adult,Deny,Male
92601,WHITE,AMERICAN ESKIMO,SICK,ALTERED,Pure,Senior,Deny,Female
92605,WHITE,POODLE - TOY,NORMAL,FERTILE,Pure,Senior,Take,Female
92606,BROWN,JACK RUSS TER,NORMAL,ALTERED,Pure,Adult,Take,Male
92608,WHITE,BOXER,INJURED,ALTERED,Two,Adult,Deny,Female
92609,BROWN,GERMAN SHEPHERD DOG,NORMAL,FERTILE,Mix,,Deny,Female
92611,BLACK,MASTIFF,NORMAL,ALTERED,Two,Adult,Deny,Female
