PrimaryColor,PrimaryBreed,IntakeInternalStatus,IntakeAsilomarStatus,ReproductiveStatusAtIntake,OutcomeType,AgeInMonths,DurationInShelter,BreedCategory,Pet_age_category,Binary_outcome,Sex,pet_id
BROWN BRINDLE,PIT BULL TERRIER,INJURED,HEALTHY,FERTILE,EUTH,24.37,20.0,Mix,Adult,Deny,Male,14984
BLACK,LABRADOR RETRIEVER,NORMAL,HEALTHY,ALTERED,TRANSPORT,26.23,-59.0,Pure,Adult,Deny,Male,14985
WHITE,PIT BULL TERRIER,FEARFUL,HEALTHY,FERTILE,EUTH,24.33,-174.0,Pure,Adult,Deny,Male,14986
BROWN,PIT BULL TERRIER,INJURED,HEALTHY,FERTILE,EUTH,12.2,-222.0,Pure,Young,Deny,Female,14987
BLACK,BOSTON TERRIER,NORMAL,HEALTHY,ALTERED,ADOPTION,33.57,89.0,Pure,Adult,Take,Female,14988
BROWN,GERMAN SHEPHERD DOG,DEAD,HEALTHY,ALTERED,DISPOSAL,109.57,0.0,Pure,Senior,Deny,Male,14989
BROWN,PIT BULL TERRIER,NURSING,HEALTHY,UNKNOWN,EUTH,0.6,0.0,Pure,Baby,Deny,Male,14990
BROWN,PIT BULL TERRIER,NORMAL,HEALTHY,FERTILE,EUTH,9.1,172.0,Pure,Young,Deny,Female,14991
BLACK,PIT BULL TERRIER,NORMAL,HEALTHY,FERTILE,EUTH,60.87,12.0,Mix,Adult,Deny,Female,14992
BROWN,BEAGLE,NORMAL,HEALTHY,FERTILE,EUTH,60.87,0.0,Mix,Adult,Deny,Female,14993
GOLD,LABRADOR RETRIEVER,NORMAL,UNHEALTHY/UNTREATABLE,ALTERED,EUTH,24.37,0.0,Pure,Adult,Deny,Female,14994
BLACK,MASTIFF,AGGRESSIVE,UNHEALTHY/UNTREATABLE,FERTILE,EUTH,17.67,0.0,Mix,Young,Deny,Female,14995
BLACK,LABRADOR RETRIEVER,NORMAL,HEALTHY,FERTILE,TRANSFER,1.57,29.0,Two,Baby,Deny,Female,14996
BLACK,LABRADOR RETRIEVER,NORMAL,HEALTHY,FERTILE,EUTH,48.7,4.0,Two,Adult,Deny,Male,14997
FAWN,CAIRN TERRIER,NORMAL,HEALTHY,ALTERED,TRANSFER,48.7,-70.0,Pure,Adult,Deny,Male,14998
TAN,CHIHUAHUA - SMOOTH COATED,NORMAL,HEALTHY,ALTERED,ADOPTION,48.7,305.0,Pure,Adult,Take,Female,14999
BROWN,BOXER,AGGRESSIVE,UNHEALTHY/UNTREATABLE,ALTERED,EUTH,73.07,0.0,Mix,Adult,Deny,Male,15000
BLACK,ROTTWEILER,SICK,UNHEALTHY/UNTREATABLE,FERTILE,EUTH,42.57,0.0,Pure,Adult,Deny,Male,15001
BROWN,GERMAN SHEPHERD DOG,NORMAL,HEALTHY,ALTERED,ADOPTION,9.97,0.0,Mix,Young,Take,Male,15002
BLACK,LABRADOR RETRIEVER,NORMAL,HEALTHY,FERTILE,EUTH,18.1,34.0,Mix,Young,Deny,Male,15003
CHOCOLATE,LABRADOR RETRIEVER,DEAD,HEALTHY,UNKNOWN,DISPOSAL,60.87,0.0,Pure,Adult,Deny,Male,15004
