PrimaryColor,PrimaryBreed,IntakeInternalStatus,IntakeAsilomarStatus,ReproductiveStatusAtIntake,OutcomeType,AgeInMonths,DurationInShelter,BreedCategory,Pet_age_category,Binary_outcome,Sex,pet_id
APRICOT,POODLE - MINIATURE,SICK,UNHEALTHY/UNTREATABLE,FERTILE,EUTH,147.23,0.0,Pure,Senior,Deny,Female,12526
BLACK,PIT BULL TERRIER,NORMAL,HEALTHY,ALTERED,EUTH,19.77,32.0,Mix,Young,Deny,Female,12527
BROWN BRINDLE,PIT BULL TERRIER,NORMAL,UNHEALTHY/UNTREATABLE,ALTERED,EUTH,55.5,48.0,Pure,Adult,Deny,Male,12528
BROWN,BOXER,NORMAL,HEALTHY,ALTERED,ADOPTION,0.2,160.0,Mix,Baby,Take,Male,12529
BROWN,AMERICAN PIT BULL TERRIER,NORMAL,HEALTHY,ALTERED,EUTH,12.2,2.0,Pure,Young,Deny,Male,12530
TRICOLOR,BASSET HOUND,NORMAL,HEALTHY,ALTERED,ADOPTION,81.63,-227.0,Pure,Adult,Take,Female,12531
BLACK,LABRADOR RETRIEVER,INJURED,HEALTHY,ALTERED,ADOPTION,4.07,328.0,Pure,Baby,Take,Male,12532
TRICOLOR,BEAGLE,NORMAL,HEALTHY,ALTERED,ADOPTION,5.1,242.0,Pure,Baby,Take,Male,12533
RED,PIT BULL TERRIER,NORMAL,HEALTHY,ALTERED,EUTH,79.1,72.0,Pure,Adult,Deny,Male,12534
BLACK,LABRADOR RETRIEVER,NORMAL,UNHEALTHY/UNTREATABLE,ALTERED,EUTH,45.33,0.0,Mix,Adult,Deny,Female,12535
BROWN,PIT BULL TERRIER,NORMAL,HEALTHY,ALTERED,EUTH,18.1,5.0,Pure,Young,Deny,Male,12536
WHITE,CHINESE SHARPEI,NORMAL,HEALTHY,ALTERED,ADOPTION,2.03,29.0,Two,Baby,Take,Male,12537
BLACK BRINDLE,POINTER,NORMAL,HEALTHY,ALTERED,TRANSFER,11.1,1.0,Pure,Young,Deny,Male,12538
BLACK,GREAT DANE,NORMAL,HEALTHY,FERTILE,TRANSFER,12.23,-121.0,Pure,Young,Deny,Female,12539
WHITE,PIT BULL TERRIER,NORMAL,HEALTHY,ALTERED,RELEASED,24.37,1.0,Mix,Adult,Deny,Male,12540
TAN,COCKER SPANIEL,AGED,UNHEALTHY/UNTREATABLE,ALTERED,EUTH,14.17,0.0,Pure,Young,Deny,Male,12541
BLACK,CHOW CHOW,DEAD,HEALTHY,ALTERED,DISPOSAL,182.63,2.0,Pure,Senior,Deny,Female,12542
BLACK,PATTERDALE TERRIER,NORMAL,HEALTHY,ALTERED,ADOPTION,11.97,-78.0,Two,Young,Take,Female,12543
WHITE,PIT BULL TERRIER,NORMAL,HEALTHY,ALTERED,ADOPTION,4.7,-139.0,Pure,Baby,Take,Female,12544
YELLOW,LABRADOR RETRIEVER,NORMAL,HEALTHY,ALTERED,ADOPTION,8.6,-22.0,Mix,Young,Take,Female,12545
BLACK,DACHSHUND,SICK,UNHEALTHY/UNTREATABLE,FERTILE,EUTH,10.13,0.0,Pure,Young,Deny,Male,12546
BLACK,LABRADOR RETRIEVER,NORMAL,HEALTHY,ALTERED,EUTH,24.33,164.0,Two,Adult,Deny,Female,12547
WHITE,GERMAN SHEPHERD DOG,AGED,UNHEALTHY/UNTREATABLE,ALTERED,EUTH,133.93,0.0,Mix,Senior,Deny,Female,12548
WHITE,COLLIE - SMOOTH,NORMAL,HEALTHY,ALTERED,ADOPTION,2.83,-70.0,Mix,Baby,Take,Female,12549
WHITE,AMERICAN ESKIMO,NORMAL,HEALTHY,ALTERED,ADOPTION,9.2,302.0,Pure,Young,Take,Female,12550
BROWN,CHIHUAHUA - SMOOTH COATED,NORMAL,HEALTHY,ALTERED,RELEASED,48.7,0.0,Pure,Adult,Deny,Female,12551
BLACK,LABRADOR RETRIEVER,AGGRESSIVE,UNHEALTHY/UNTREATABLE,ALTERED,EUTH,73.07,0.0,Two,Adult,Deny,Male,12552
WHITE,PIT BULL TERRIER,AGGRESSIVE,UNHEALTHY/UNTREATABLE,FERTILE,EUTH,24.37,218.0,Pure,Adult,Deny,Male,12553
WHITE,GERMAN SHEPHERD DOG,AGED,UNHEALTHY/UNTREATABLE,FERTILE,EUTH,133.93,0.0,Two,Senior,Deny,Male,12554
BLACK,PIT BULL TERRIER,NORMAL,HEALTHY,ALTERED,EUTH,14.17,-104.0,Pure,Young,Deny,Male,12555
BLACK,ROTTWEILER,NORMAL,HEALTHY,FERTILE,EUTH,48.7,0.0,Pure,Adult,Deny,Male,12556
BLACK,LABRADOR RETRIEVER,NORMAL,UNHEALTHY/UNTREATABLE,FERTILE,EUTH,60.9,0.0,Pure,Adult,Deny,Male,12557
BLACK,BEAGLE,NORMAL,HEALTHY,FERTILE,EUTH,11.93,-244.0,Two,Young,Deny,Male,12558
GRAY,CHOW CHOW,FEARFUL,UNHEALTHY/UNTREATABLE,FERTILE,EUTH,8.17,0.0,Two,Young,Deny,Male,12559
BROWN,PIT BULL TERRIER,NORMAL,HEALTHY,ALTERED,RELEASED,11.17,0.0,Pure,Young,Deny,Female,12560
GRAY,PIT BULL TERRIER,NORMAL,HEALTHY,FERTILE,EUTH,24.37,-196.0,Pure,Adult,Deny,Male,12561
BLACK,CHIHUAHUA - SMOOTH COATED,AGGRESSIVE,UNHEALTHY/UNTREATABLE,FERTILE,EUTH,121.77,0.0,Pure,Senior,Deny,Female,12562
TRICOLOR,AKITA,NORMAL,HEALTHY,FERTILE,EUTH,36.53,92.0,Pure,Adult,Deny,Male,12563
BROWN BRINDLE,PIT BULL TERRIER,NORMAL,HEALTHY,FERTILE,EUTH,24.13,6.0,Pure,Adult,Deny,Female,12564
BROWN,PIT BULL TERRIER,NORMAL,UNHEALTHY/UNTREATABLE,FERTILE,EUTH,18.2,0.0,Mix,Young,Deny,Female,12565
BROWN,LABRADOR RETRIEVER,NORMAL,HEALTHY,FERTILE,EUTH,8.1,5.0,Two,Young,Deny,Male,12566
BLACK,DALMATIAN,DEAD,HEALTHY,UNKNOWN,EUTH,24.33,0.0,Mix,Adult,Deny,Male,12567
GOLD,GOLDEN RETRIEVER,NORMAL,HEALTHY,ALTERED,RELEASED,12.3,75.0,Mix,Young,Deny,Male,12568
YELLOW,GOLDEN RETRIEVER,NORMAL,HEALTHY,ALTERED,ADOPTION,11.23,182.0,Pure,Young,Take,Male,12569
BLACK,PIT BULL TERRIER,NORMAL,HEALTHY,FERTILE,EUTH,-2.43,0.0,Pure,,Deny,Male,12570
TRICOLOR,BEAGLE,NORMAL,HEALTHY,ALTERED,ADOPTION,6.13,130.0,Pure,Young,Take,Female,12571
BLACK,LABRADOR RETRIEVER,NORMAL,HEALTHY,FERTILE,EUTH,8.13,18.0,Pure,Young,Deny,Male,12572
BROWN,GERMAN SHEPHERD DOG,NORMAL,HEALTHY,FERTILE,EUTH,0.07,0.0,Mix,Baby,Deny,Male,12573
BROWN,CHOW CHOW,NORMAL,HEALTHY,FERTILE,EUTH,18.23,-84.0,Two,Young,Deny,Male,12574
BROWN,PIT BULL TERRIER,NORMAL,HEALTHY,ALTERED,RELEASED,36.5,1.0,Mix,Adult,Deny,Male,12575
BROWN,PIT BULL TERRIER,NORMAL,HEALTHY,FERTILE,EUTH,4.0,12.0,Mix,Baby,Deny,Male,12576
TAN,COLLIE - SMOOTH,NORMAL,HEALTHY,ALTERED,EUTH,2.0,21.0,Mix,Baby,Deny,Male,12577
BROWN,GERMAN SHEPHERD DOG,AGED,UNHEALTHY/UNTREATABLE,ALTERED,EUTH,85.23,0.0,Pure,Senior,Deny,Female,12578
YELLOW,LABRADOR RETRIEVER,NORMAL,HEALTHY,ALTERED,ADOPTION,8.5,31.0,Mix,Young,Take,Female,12579
GOLD,GOLDEN RETRIEVER,SICK,HEALTHY,ALTERED,ADOPTION,9.67,132.0,Pure,Young,Take,Female,12580
BROWN,BEAGLE,NORMAL,UNHEALTHY/UNTREATABLE,FERTILE,EUTH,170.43,0.0,Pure,Senior,Deny,Male,12581
BLACK,POODLE - TOY,AGED,UNHEALTHY/UNTREATABLE,ALTERED,EUTH,160.53,0.0,Two,Senior,Deny,Male,12582
BROWN,CHOW CHOW,NORMAL,HEALTHY,FERTILE,TRANSFER,18.3,11.0,Mix,Young,Deny,Male,12583
BLUE MERLE,BORDER COLLIE,NORMAL,HEALTHY,ALTERED,ADOPTION,85.2,24.0,Two,Senior,Take,Female,12584
BLACK,SIBERIAN HUSKY,NORMAL,HEALTHY,ALTERED,EUTH,27.27,-105.0,Two,Adult,Deny,Male,12585
GRAY,PIT BULL TERRIER,NORMAL,HEALTHY,FERTILE,EUTH,18.23,0.0,Pure,Young,Deny,Female,12586
BLACK,LABRADOR RETRIEVER,NORMAL,HEALTHY,FERTILE,EUTH,73.03,122.0,Mix,Adult,Deny,Female,12587
BLACK,JACK RUSS TER,NORMAL,HEALTHY,ALTERED,ADOPTION,60.87,134.0,Pure,Adult,Take,Female,12588
YELLOW,LABRADOR RETRIEVER,NORMAL,HEALTHY,ALTERED,TRANSFER,164.73,-195.0,Pure,Senior,Deny,Female,12589
BROWN BRINDLE,LABRADOR RETRIEVER,NORMAL,HEALTHY,ALTERED,EUTH,5.03,-72.0,Mix,Baby,Deny,Female,12590
GOLD,GOLDEN RETRIEVER,NORMAL,HEALTHY,ALTERED,TRANSFER,60.87,3.0,Pure,Adult,Deny,Male,12591
WHITE,BEAGLE,INJURED,HEALTHY,FERTILE,EUTH,109.57,183.0,Pure,Senior,Deny,Female,12592
TRICOLOR,LHASA APSO,INJURED,UNHEALTHY/UNTREATABLE,FERTILE,EUTH,36.5,0.0,Pure,Adult,Deny,Male,12593
BROWN,AMERICAN STAFFORDSHIRE TERRIER,NORMAL,HEALTHY,FERTILE,EUTH,64.6,1.0,Mix,Adult,Deny,Male,12594
BLACK,BEAGLE,SICK,UNHEALTHY/UNTREATABLE,FERTILE,EUTH,170.43,0.0,Pure,Senior,Deny,Male,12595
BLACK,POMERANIAN,AGED,TREATABLE/MANAGEABLE,ALTERED,EUTH,133.9,0.0,Pure,Senior,Deny,Male,12596
TAN,GERMAN SHEPHERD DOG,NORMAL,HEALTHY,ALTERED,TRANSFER,37.63,-255.0,Mix,Adult,Deny,Female,12597
BROWN,BASSET HOUND,NORMAL,HEALTHY,ALTERED,TRANSFER,121.37,25.0,Pure,Senior,Deny,Male,12598
BROWN,PIT BULL TERRIER,EMACIATED,HEALTHY,FERTILE,EUTH,24.37,5.0,Mix,Adult,Deny,Female,12599
BROWN,BOXER,SICK,HEALTHY,FERTILE,EUTH,2.07,2.0,Mix,Baby,Deny,Male,12600
GRAY,AIREDALE TERRIER,NORMAL,HEALTHY,FERTILE,TRANSFER,4.07,44.0,Mix,Baby,Deny,Male,12601
WHITE,PIT BULL TERRIER,NORMAL,HEALTHY,FERTILE,TRANSFER,8.73,103.0,Pure,Young,Deny,Female,12602
BLACK,BEAGLE,AGED,TREATABLE/MANAGEABLE,UNKNOWN,TRANSFER,2.03,-205.0,Two,Baby,Deny,Male,12603
BLACK,CHOW CHOW,AGGRESSIVE,UNHEALTHY/UNTREATABLE,ALTERED,EUTH,60.87,0.0,Mix,Adult,Deny,Male,12604
BROWN,BEAGLE,NORMAL,HEALTHY,ALTERED,RELEASED,0.2,0.0,Mix,Baby,Deny,Male,12605
BLACK,LABRADOR RETRIEVER,NORMAL,HEALTHY,ALTERED,ADOPTION,6.4,-158.0,Two,Young,Take,Female,12606
BLACK,BEAGLE,NORMAL,HEALTHY,FERTILE,EUTH,24.33,-45.0,Mix,Adult,Deny,Male,12607
BLACK,DACHSHUND,INJURED,HEALTHY,FERTILE,EUTH,122.53,23.0,Two,Senior,Deny,Male,12608
BROWN BRINDLE,PIT BULL TERRIER,SICK,HEALTHY,ALTERED,ADOPTION,6.13,60.0,Mix,Young,Take,Male,12609
BROWN,COCKER SPANIEL,OBESE,HEALTHY,ALTERED,TRANSFER,107.97,-308.0,Pure,Senior,Deny,Male,12610
BROWN BRINDLE,BOXER,AGGRESSIVE,UNHEALTHY/UNTREATABLE,ALTERED,EUTH,122.7,7.0,Mix,Senior,Deny,Male,12611
BROWN BRINDLE,PIT BULL TERRIER,NORMAL,HEALTHY,ALTERED,RELEASED,24.33,0.0,Pure,Adult,Deny,Male,12612
BLACK,GERMAN SHORTHAIRED POINTER,FEARFUL,UNHEALTHY/UNTREATABLE,FERTILE,EUTH,3.73,128.0,Mix,Baby,Deny,Male,12613
BROWN,GERMAN SHEPHERD DOG,PREGNANT,HEALTHY,FERTILE,EUTH,-0.2,42.0,Mix,,Deny,Female,12614
WHITE,ENGLISH SETTER,OTHER,HEALTHY,FERTILE,TRANSFER,146.1,4.0,Pure,Senior,Deny,Male,12615
BLACK,BOSTON TERRIER,NORMAL,HEALTHY,ALTERED,ADOPTION,9.23,-259.0,Pure,Young,Take,Female,12616
TRICOLOR,BEAGLE,NORMAL,HEALTHY,ALTERED,DIED,14.77,104.0,Pure,Young,Deny,Male,12617
BROWN,CHOW CHOW,AGED,UNHEALTHY/UNTREATABLE,ALTERED,EUTH,170.27,0.0,Mix,Senior,Deny,Male,12618
BLACK,LABRADOR RETRIEVER,INJURED,HEALTHY,ALTERED,TRANSFER,11.97,28.0,Two,Young,Deny,Female,12619
BLACK,MINIATURE PINSCHER,NORMAL,HEALTHY,ALTERED,ADOPTION,19.77,-172.0,Pure,Young,Take,Male,12620
BLACK,GERMAN SHEPHERD DOG,AGGRESSIVE,UNHEALTHY/UNTREATABLE,FERTILE,EUTH,24.37,0.0,Pure,Adult,Deny,Male,12621
BROWN,SIBERIAN HUSKY,NURSING,HEALTHY,FERTILE,TRANSFER,0.07,-231.0,Mix,Baby,Deny,Female,12622
TAN,LHASA APSO,NORMAL,HEALTHY,ALTERED,ADOPTION,3.0,7.0,Mix,Baby,Take,Female,12623
FAWN,CHIHUAHUA - SMOOTH COATED,NORMAL,HEALTHY,FERTILE,EUTH,97.4,3.0,Pure,Senior,Deny,Female,12624
TAN,CHIHUAHUA - SMOOTH COATED,NORMAL,HEALTHY,ALTERED,ADOPTION,44.33,-128.0,Mix,Adult,Take,Male,12625
YELLOW,PIT BULL TERRIER,NORMAL,HEALTHY,ALTERED,RELEASED,31.93,0.0,Pure,Adult,Deny,Male,12626
WHITE,SCHNAUZER - MINIATURE,NORMAL,HEALTHY,ALTERED,RELEASED,56.53,0.0,Pure,Adult,Deny,Male,12627
BLACK,BORDER COLLIE,AGED,UNHEALTHY/UNTREATABLE,ALTERED,EUTH,206.97,0.0,Pure,Senior,Deny,Female,12628
BLACK,PIT BULL TERRIER,NORMAL,HEALTHY,FERTILE,EUTH,12.17,0.0,Pure,Young,Deny,Male,12629
BROWN,CHOW CHOW,AGGRESSIVE,UNHEALTHY/UNTREATABLE,FERTILE,EUTH,19.33,2.0,Pure,Young,Deny,Female,12630
BLACK,LABRADOR RETRIEVER,NORMAL,HEALTHY,ALTERED,EUTH,52.77,-233.0,Two,Adult,Deny,Female,12631
CREAM,NORFOLK TERRIER,AGED,UNHEALTHY/UNTREATABLE,FERTILE,EUTH,158.3,0.0,Mix,Senior,Deny,Female,12632
WHITE,BORDER COLLIE,NORMAL,HEALTHY,FERTILE,TRANSFER,12.17,-10.0,Pure,Young,Deny,Male,12633
TRICOLOR,BEAGLE,NORMAL,HEALTHY,FERTILE,EUTH,4.07,30.0,Pure,Baby,Deny,Female,12634
BLACK,PARSON (JACK) RUSSELL TERRIER,NORMAL,HEALTHY,ALTERED,ADOPTION,11.23,62.0,Two,Young,Take,Male,12635
TAN,YORKSHIRE TERRIER,NORMAL,HEALTHY,FERTILE,ADOPTION,11.7,-261.0,Mix,Young,Take,Female,12636
GRAY,SHIH TZU,DEAD,HEALTHY,FERTILE,EUTH,36.53,-1.0,Pure,Adult,Deny,Female,12637
WHITE,CHIHUAHUA - LONG HAIRED,SICK,HEALTHY,FERTILE,EUTH,5.73,0.0,Two,Baby,Deny,Male,12638
TAN,BOXER,NORMAL,HEALTHY,ALTERED,TRANSFER,12.17,242.0,Pure,Young,Deny,Male,12639
BLACK,LABRADOR RETRIEVER,NORMAL,HEALTHY,ALTERED,ADOPTION,2.03,20.0,Mix,Baby,Take,Male,12640
TRICOLOR,BEAGLE,NORMAL,HEALTHY,ALTERED,ADOPTION,24.33,6.0,Pure,Adult,Take,Female,12641
BLACK,ROTTWEILER,AGED,UNHEALTHY/UNTREATABLE,ALTERED,EUTH,78.97,0.0,Mix,Adult,Deny,Female,12642
BLACK,PIT BULL TERRIER,AGGRESSIVE,UNHEALTHY/UNTREATABLE,FERTILE,EUTH,12.17,0.0,Mix,Young,Deny,Male,12643
TRICOLOR,SHETLAND SHEEPDOG,AGED,UNHEALTHY/UNTREATABLE,ALTERED,EUTH,144.3,0.0,Pure,Senior,Deny,Female,12644
TRICOLOR,YORKSHIRE TERRIER,SICK,UNHEALTHY/UNTREATABLE,FERTILE,EUTH,151.73,0.0,Two,Senior,Deny,Female,12645
BROWN,LABRADOR RETRIEVER,NORMAL,HEALTHY,FERTILE,EUTH,0.13,-149.0,Mix,Baby,Deny,Female,12646
BLACK,AUSTRALIAN SHEPHERD,NORMAL,HEALTHY,ALTERED,ADOPTION,19.6,40.0,Mix,Young,Take,Female,12647
BLACK,GERMAN SHEPHERD DOG,NORMAL,HEALTHY,ALTERED,EUTH,18.2,12.0,Pure,Young,Deny,Male,12648
BLACK,GERMAN SHEPHERD DOG,INJURED,HEALTHY,FERTILE,TRANSFER,4.1,20.0,Mix,Baby,Deny,Female,12649
BROWN,COLLIE - SMOOTH,NORMAL,HEALTHY,FERTILE,EUTH,0.17,134.0,Mix,Baby,Deny,Male,12650
TAN,BORDER COLLIE,AGED,TREATABLE/MANAGEABLE,ALTERED,EUTH,146.1,0.0,Mix,Senior,Deny,Female,12651
BLACK,CHIHUAHUA - SMOOTH COATED,NORMAL,HEALTHY,ALTERED,ADOPTION,7.43,-92.0,Two,Young,Take,Male,12652
BROWN BRINDLE,BOXER,NORMAL,HEALTHY,ALTERED,ADOPTION,-2.03,-15.0,Mix,,Take,Female,12653
TAN,POODLE - STANDARD,INJURED,HEALTHY,FERTILE,EUTH,121.73,0.0,Mix,Senior,Deny,Male,12654
BROWN BRINDLE,PIT BULL TERRIER,SICK,HEALTHY,FERTILE,EUTH,0.1,0.0,Pure,Baby,Deny,Female,12655
BLACK,CHOW CHOW,NORMAL,HEALTHY,FERTILE,TRANSFER,0.07,-166.0,Two,Baby,Deny,Female,12656
TAN,YORKSHIRE TERRIER,AGGRESSIVE,UNHEALTHY/UNTREATABLE,FERTILE,RELEASED,24.27,1.0,Pure,Adult,Deny,Male,12657
BLACK,SCOTTISH TERRIER,OTHER,HEALTHY,ALTERED,TRANSFER,24.33,274.0,Mix,Adult,Deny,Male,12658
BROWN,KEESHOND,NORMAL,HEALTHY,FERTILE,TRANSFER,14.9,-81.0,Mix,Young,Deny,Female,12659
BLACK,PIT BULL TERRIER,FEARFUL,HEALTHY,FERTILE,EUTH,10.1,5.0,Two,Young,Deny,Female,12660
BLACK,GERMAN SHEPHERD DOG,NORMAL,HEALTHY,ALTERED,TRANSFER,3.7,1.0,Mix,Baby,Deny,Male,12661
BLACK,PUG,AGED,UNHEALTHY/UNTREATABLE,ALTERED,EUTH,141.87,0.0,Mix,Senior,Deny,Female,12662
BLACK,PIT BULL TERRIER,NORMAL,HEALTHY,FERTILE,TRANSFER,11.83,32.0,Mix,Young,Deny,Female,12663
BROWN,GERMAN SHEPHERD DOG,NORMAL,HEALTHY,FERTILE,EUTH,24.37,42.0,Two,Adult,Deny,Female,12664
BLACK,BORDER COLLIE,SICK,UNHEALTHY/UNTREATABLE,ALTERED,EUTH,182.63,0.0,Mix,Senior,Deny,Male,12665
BLACK,PIT BULL TERRIER,FEARFUL,HEALTHY,FERTILE,EUTH,24.33,6.0,Mix,Adult,Deny,Female,12666
TRICOLOR,SHIH TZU,AGED,UNHEALTHY/UNTREATABLE,FERTILE,EUTH,159.97,0.0,Two,Senior,Deny,Female,12667
BLUE MERLE,AUSTRALIAN CATTLE DOG,FEARFUL,HEALTHY,FERTILE,EUTH,12.13,0.0,Pure,Young,Deny,Female,12668
BROWN BRINDLE,BOXER,NURSING,HEALTHY,FERTILE,ADOPTION,3.07,30.0,Mix,Baby,Take,Male,12669
BLACK,GERMAN SHEPHERD DOG,AGGRESSIVE,UNHEALTHY/UNTREATABLE,FERTILE,EUTH,24.37,0.0,Mix,Adult,Deny,Female,12670
CREAM,SHIH TZU,NORMAL,HEALTHY,ALTERED,ADOPTION,30.43,5.0,Mix,Adult,Take,Female,12671
BLACK,BLUETICK COONHOUND,NORMAL,HEALTHY,ALTERED,TRANSFER,3.87,61.0,Two,Baby,Deny,Male,12672
BLACK,LABRADOR RETRIEVER,NORMAL,HEALTHY,FERTILE,EUTH,0.1,12.0,Mix,Baby,Deny,Male,12673
BLACK,ROTTWEILER,SICK,HEALTHY,FERTILE,EUTH,57.3,1.0,Pure,Adult,Deny,Male,12674
BROWN BRINDLE,PIT BULL TERRIER,SICK,UNHEALTHY/UNTREATABLE,ALTERED,EUTH,219.13,0.0,Pure,Senior,Deny,Female,12675
BLACK,ROTTWEILER,AGGRESSIVE,UNHEALTHY/UNTREATABLE,FERTILE,EUTH,48.7,-1.0,Pure,Adult,Deny,Male,12676
BROWN,AMERICAN PIT BULL TERRIER,NORMAL,HEALTHY,FERTILE,EUTH,12.17,4.0,Pure,Young,Deny,Male,12677
TAN,GERMAN SHEPHERD DOG,NORMAL,HEALTHY,UNKNOWN,EUTH,9.1,-13.0,Mix,Young,Deny,Male,12678
BLACK,MINIATURE PINSCHER,NURSING,HEALTHY,UNKNOWN,TRANSFER,0.57,11.0,Pure,Baby,Deny,Male,12679
RED,BEAGLE,NORMAL,HEALTHY,ALTERED,ADOPTION,9.13,33.0,Pure,Young,Take,Male,12680
BLACK,BORDER COLLIE,NORMAL,HEALTHY,FERTILE,TRANSFER,3.03,0.0,Pure,Baby,Deny,Male,12681
RED,GOLDEN RETRIEVER,AGED,TREATABLE/MANAGEABLE,ALTERED,EUTH,170.43,0.0,Pure,Senior,Deny,Female,12682
BLACK,POODLE - MINIATURE,NORMAL,HEALTHY,ALTERED,EUTH,107.27,35.0,Pure,Senior,Deny,Male,12683
BROWN,AMERICAN BULLDOG,NORMAL,UNHEALTHY/UNTREATABLE,ALTERED,EUTH,30.6,-73.0,Two,Adult,Deny,Male,12684
BROWN,BEAGLE,INJURED,HEALTHY,FERTILE,TRANSFER,12.07,-23.0,Two,Young,Deny,Female,12685
BROWN,COLLIE - ROUGH,AGED,TREATABLE/MANAGEABLE,ALTERED,TRANSFER,109.57,2.0,Pure,Senior,Deny,Male,12686
WHITE,PIT BULL TERRIER,SICK,UNHEALTHY/UNTREATABLE,FERTILE,EUTH,0.2,0.0,Pure,Baby,Deny,Male,12687
BROWN BRINDLE,PRESA CANARIO,SICK,UNHEALTHY/UNTREATABLE,FERTILE,EUTH,18.3,0.0,Pure,Young,Deny,Male,12688
TRICOLOR,BEAGLE,NORMAL,HEALTHY,ALTERED,ADOPTION,36.5,31.0,Pure,Adult,Take,Male,12689
WHITE,SHIH TZU,INJURED,HEALTHY,FERTILE,TRANSFER,24.33,274.0,Mix,Adult,Deny,Male,12690
WHITE,ST BERNARD - ROUGH COATED,NORMAL,HEALTHY,ALTERED,ADOPTION,0.93,366.0,Pure,Baby,Take,Female,12691
BLACK,GERMAN SHEPHERD DOG,NORMAL,HEALTHY,FERTILE,EUTH,0.07,0.0,Two,Baby,Deny,Male,12692
RED,AMERICAN PIT BULL TERRIER,NORMAL,HEALTHY,FERTILE,EUTH,83.93,1.0,Pure,Adult,Deny,Male,12693
BLACK,CHIHUAHUA - LONG HAIRED,NORMAL,HEALTHY,ALTERED,ADOPTION,30.33,4.0,Mix,Adult,Take,Female,12694
BLACK,SHIH TZU,INJURED,HEALTHY,FERTILE,EUTH,24.33,0.0,Mix,Adult,Deny,Female,12695
WHITE,LABRADOR RETRIEVER,NORMAL,HEALTHY,ALTERED,ADOPTION,10.03,62.0,Two,Young,Take,Male,12696
BROWN,BELGIAN SHEEPDOG,AGED,UNHEALTHY/UNTREATABLE,ALTERED,EUTH,158.27,0.0,Two,Senior,Deny,Male,12697
BROWN,CHIHUAHUA - SMOOTH COATED,AGED,TREATABLE/MANAGEABLE,FERTILE,EUTH,170.43,0.0,Pure,Senior,Deny,Female,12698
RED,DACHSHUND,SICK,UNHEALTHY/UNTREATABLE,FERTILE,EUTH,207.0,30.0,Pure,Senior,Deny,Male,12699
WHITE,BORDER COLLIE,NORMAL,HEALTHY,FERTILE,MISSING,12.17,214.0,Mix,Young,Deny,Male,12700
BLUE MERLE,AUSTRALIAN CATTLE DOG,NORMAL,HEALTHY,ALTERED,EUTH,60.87,18.0,Pure,Adult,Deny,Female,12701
BROWN,SHETLAND SHEEPDOG,NORMAL,HEALTHY,FERTILE,TRANSPORT,70.83,122.0,Mix,Adult,Deny,Female,12702
BLACK,LABRADOR RETRIEVER,FEARFUL,HEALTHY,FERTILE,EUTH,12.17,2.0,Mix,Young,Deny,Female,12703
GOLD,GOLDEN RETRIEVER,AGED,TREATABLE/MANAGEABLE,ALTERED,EUTH,156.97,0.0,Two,Senior,Deny,Female,12704
TRICOLOR,BEAGLE,PREGNANT,HEALTHY,ALTERED,EUTH,37.67,222.0,Two,Adult,Deny,Female,12705
BLACK,DACHSHUND,NORMAL,HEALTHY,ALTERED,ADOPTION,12.17,74.0,Two,Young,Take,Female,12706
BLACK,BLOODHOUND,NORMAL,HEALTHY,ALTERED,EUTH,12.03,-90.0,Two,Young,Deny,Female,12707
WHITE,BEAGLE,NORMAL,HEALTHY,FERTILE,TRANSFER,1.53,-55.0,Pure,Baby,Deny,Male,12708
WHITE,PIT BULL TERRIER,FEARFUL,HEALTHY,ALTERED,EUTH,60.6,6.0,Two,Adult,Deny,Female,12709
BLACK BRINDLE,PIT BULL TERRIER,NORMAL,HEALTHY,ALTERED,RELEASED,36.7,0.0,Mix,Adult,Deny,Female,12710
BLACK,LABRADOR RETRIEVER,NORMAL,HEALTHY,ALTERED,TRANSFER,13.17,54.0,Mix,Young,Deny,Male,12711
WHITE,SHIH TZU,SICK,UNHEALTHY/UNTREATABLE,FERTILE,EUTH,12.17,0.0,Pure,Young,Deny,Female,12712
BLACK,DACHSHUND,NORMAL,HEALTHY,ALTERED,RELEASED,36.5,0.0,Mix,Adult,Deny,Female,12713
TAN,GERMAN SHEPHERD DOG,NORMAL,HEALTHY,ALTERED,ADOPTION,7.43,314.0,Two,Young,Take,Male,12714
BLACK,GERMAN SHEPHERD DOG,INJURED,HEALTHY,FERTILE,EUTH,48.7,31.0,Pure,Adult,Deny,Male,12715
TRICOLOR,BASSET HOUND,NORMAL,HEALTHY,ALTERED,TRANSFER,24.33,-137.0,Pure,Adult,Deny,Male,12716
BLACK BRINDLE,GERMAN SHEPHERD DOG,NORMAL,HEALTHY,FERTILE,RELEASED,0.77,0.0,Two,Baby,Deny,Female,12717
FAWN,PUG,NORMAL,HEALTHY,FERTILE,TRANSFER,11.93,30.0,Two,Young,Deny,Male,12718
RED,GERMAN SHEPHERD DOG,NORMAL,HEALTHY,ALTERED,RELEASED,12.0,0.0,Mix,Young,Deny,Female,12719
BROWN,BOXER,AGED,UNHEALTHY/UNTREATABLE,ALTERED,EUTH,146.1,0.0,Pure,Senior,Deny,Female,12720
GRAY,PIT BULL TERRIER,FEARFUL,HEALTHY,FERTILE,EUTH,13.87,-278.0,Pure,Young,Deny,Female,12721
CREAM,CHIHUAHUA - SMOOTH COATED,NORMAL,HEALTHY,ALTERED,EUTH,23.7,-193.0,Two,Young,Deny,Female,12722
