Name,Breed,Color,Sex,Size,DateOfBirth,IntakeDate,OutcomeDate,DaysinShelter,IntakeType,OutcomeType
LUNA,PIT BULL/LABRADOR RETR,BLACK/WHITE,Spayed,MED,,01/25/2020,01/25/2020,0,STRAY,RETURN TO OWNER
DUECE,PIT BULL,BLACK/WHITE,Male,MED,07/25/2019,01/24/2020,01/25/2020,1,CONFISCATE,RETURN TO OWNER
*SCOOTER,GERM SHEPHERD,WHITE,Neutered,LARGE,12/26/2013,12/26/2019,01/25/2020,30,STRAY,TRANSFER
FAT BOY,MALTESE,WHITE,Neutered,SMALL,3/1/2018,3/1/2020,01/25/2020,22,OWNER SURRENDER,TRANSFER
SAMMY,GERM SHEPHERD,BLACK/TAN,Female,MED,,01/25/2020,01/25/2020,0,STRAY,RETURN TO OWNER
MAXIMILIAN,MIN PINSCHER/MIX,BLACK/TAN,Neutered,SMALL,07/24/2011,01/24/2020,01/25/2020,1,STRAY,RETURN TO OWNER
*BURTON,PIT BULL/MIX,BR BRINDLE/WHITE,Neutered,SMALL,7/7/2018,7/1/2020,01/25/2020,18,STRAY,ADOPTION
*FANTA,PAPILLON/PARSON RUSS TER,TAN/WHITE,Neutered,MED,07/24/2019,01/15/2020,01/25/2020,10,STRAY,ADOPTION
*MELVIN,AMER BULLDOG,WHITE/BROWN,Male,LARGE,8/1/2013,8/1/2020,01/25/2020,17,STRAY,TRANSFER
FELON,PIT BULL,BR BRINDLE/WHITE,Male,MED,02/24/2015,7/10/2015,10/15/2015,8,OWNER SURRENDER,RETURN TO OWNER
CHITA,PIT BULL,BLUE/WHITE,Spayed,LARGE,12/31/2015,12/13/2019,01/25/2020,43,OWNER SURRENDER,TRANSFER
ALLIE,AUST SHEPHERD/GERM SHEPHERD,BLACK/BROWN,Spayed,MED,,1/8/2016,2/8/2016,1,CONFISCATE,RETURN TO OWNER
DOLLAR,ROTTWEILER/MIX,BLACK/TAN,Male,LARGE,12/15/2006,12/15/2016,12/15/2016,0,STRAY,RETURN TO OWNER
MURPHY,BORDER COLLIE/MIX,BLACK/WHITE,Male,MED,,3/11/2019,3/11/2019,0,STRAY,RETURN TO OWNER
*NIKKI,YORKSHIRE TERR/MIX,BLACK/GRAY,Spayed,TOY,11/21/2013,11/21/2017,11/22/2017,1,ADOPTION RETURN,ADOPTION
ZEUS,PIT BULL,TAN/WHITE,Male,MED,7/2/2016,12/27/2016,12/27/2016,0,STRAY,RETURN TO OWNER
CHLOE,PUG/BEAGLE,TAN,Spayed,SMALL,09/16/2014,11/17/2018,11/20/2018,3,STRAY,RETURN TO OWNER
KLEO,SIBERIAN HUSKY,BLACK/WHITE,Female,MED,01/31/2018,2/1/2020,01/22/2020,20,STRAY,RTOS
BILLY,PIT BULL,WHITE/BR BRINDLE,Neutered,LARGE,,02/13/2020,03/24/2020,40,CONFISCATE,EUTHANIZE
CHLOE,CHIHUAHUA SH,BROWN,Female,SMALL,09/27/2011,09/24/2018,09/27/2018,3,STRAY,RETURN TO OWNER
MIA,CHIHUAHUA SH/MIX,BLACK/WHITE,Spayed,SMALL,11/24/2014,09/26/2018,09/26/2018,0,STRAY,RETURN TO OWNER
KODA,PIT BULL,BLACK,Male,MED,09/24/2016,03/23/2020,03/24/2020,1,CONFISCATE,RETURN TO OWNER
POE,PIT BULL/MIX,BLACK,Neutered,LARGE,,1/1/2017,3/1/2017,2,STRAY,RETURN TO OWNER
MANCHAS,PIT BULL/TR WALKER HOUND,TRICOLOR,Male,LARGE,09/26/2016,09/26/2018,09/26/2018,0,STRAY,RETURN TO OWNER
PETE,GERM SHEPHERD/PIT BULL,BLACK,Male,MED,,10/29/2019,10/30/2019,1,STRAY,RETURN TO OWNER
MINDY,DACHSHUND,BLACK/BROWN,Female,SMALL,,10/29/2019,3/11/2019,5,CONFISCATE,RETURN TO OWNER
,GERM SHEPHERD,BLACK/BROWN,Male,MED,,4/10/2019,4/11/2019,31,STRAY,TRANSFER
,PIT BULL,BLUE/WHITE,Female,LARGE,11/3/2018,11/3/2020,03/24/2020,13,STRAY,EUTHANIZE
*WAFFLE,OLD ENG BULLDOG/PIT BULL,WHITE/BROWN,Spayed,MED,10/5/2016,01/21/2020,01/31/2020,10,OWNER SURRENDER,EUTHANIZE
STELLA,MALTESE,WHITE,Female,TOY,10/24/2019,03/21/2020,03/24/2020,3,STRAY,RETURN TO OWNER
CHLOE,PUG/BEAGLE,TAN,Spayed,SMALL,09/16/2014,09/16/2016,09/17/2016,1,STRAY,RETURN TO OWNER
,PIT BULL,BLUE/WHITE,Female,MED,,11/26/2019,12/19/2019,23,STRAY,EUTHANIZE
JAX,PIT BULL,BLACK/WHITE,Neutered,LARGE,03/22/2014,03/22/2020,03/24/2020,2,STRAY,RETURN TO OWNER
AIDA,PIT BULL,BLACK/WHITE,Female,MED,,03/23/2020,,0,CONFISCATE,
BABY,PIT BULL/GERM SH POINT,BLACK,Neutered,LARGE,1/11/2018,7/3/2019,03/30/2019,23,STRAY,RETURN TO OWNER
FINNEGAN,GERM WH POINT/MIX,BLACK/WHITE,Neutered,MED,1/5/2017,01/25/2018,01/26/2018,1,STRAY,RETURN TO OWNER
CHLOE,PUG/BEAGLE,TAN,Spayed,SMALL,09/16/2014,9/6/2017,06/13/2017,4,STRAY,RETURN TO OWNER
BLACK BEAUTY,CHIHUAHUA SH/MIX,BLACK,Spayed,SMALL,3/12/2014,7/11/2019,12/19/2019,42,OWNER SURRENDER,ADOPTION
ZEUS,PIT BULL,TAN/WHITE,Male,MED,7/2/2016,7/2/2018,02/15/2018,8,STRAY,RETURN TO OWNER
KLEO,SIBERIAN HUSKY,BLACK/WHITE,Female,MED,01/31/2018,01/13/2019,01/13/2019,0,STRAY,RETURN TO OWNER
MIMIE,AMER ESKIMO/POMERANIAN,GOLD,Spayed,SMALL,8/11/2005,3/4/2019,4/4/2019,1,STRAY,RETURN TO OWNER
*SONNY,PIT BULL/MIX,TAN/WHITE,Neutered,MED,12/26/2017,5/10/2019,5/10/2019,0,STRAY,RETURN TO OWNER
MOCHI,CHIHUAHUA SH/TOY FOX TERRIER,WHITE/TAN,Male,SMALL,05/20/2018,12/19/2019,12/20/2019,1,STRAY,RETURN TO OWNER
*HANK,SIBERIAN HUSKY/GERM SHEPHERD,TRICOLOR,Neutered,PUPPY,09/26/2019,11/12/2019,12/20/2019,9,OWNER SURRENDER,ADOPTION
JETTA MARIE,PIT BULL/MIX,BLACK,Spayed,MED,10/30/2018,08/13/2019,3/9/2019,21,STRAY,ADOPTION
CURLY,GREAT DANE/MIX,FAWN,Neutered,X-LRG,12/15/2015,10/29/2019,12/20/2019,52,STRAY,TRANSFER
BRADLEY,LABRADOR RETR,BLACK,Neutered,X-LRG,12/20/2013,12/14/2017,12/20/2017,6,STRAY,RETURN TO OWNER
LUX,BORDER COLLIE/MIX,GRAY/WHITE,Male,LARGE,,03/24/2020,03/26/2020,2,STRAY,RETURN TO OWNER
RAIDER,SHIH TZU,BLACK/GRAY,Spayed,TOY,08/21/2017,2/1/2019,2/1/2019,0,STRAY,RETURN TO OWNER
ZUCKERS,YORKSHIRE TERR,BLACK/TAN,Neutered,TOY,2/11/2009,2/11/2019,5/11/2019,3,STRAY,RETURN TO OWNER
ROXY,COCKER SPAN/MIX,TAN,Spayed,SMALL,12/26/2008,5/11/2019,5/11/2019,0,STRAY,RETURN TO OWNER
SCAR,AUST SHEPHERD/SIBERIAN HUSKY,TRICOLOR,Male,MED,5/4/2019,5/11/2019,5/11/2019,0,STRAY,RETURN TO OWNER
OLIVER BROWN,CHIHUAHUA SH/MIN PINSCHER,BROWN/BLACK,Neutered,SMALL,03/27/2009,03/18/2014,10/29/2014,225,STRAY,ADOPTION
AUGGIE,CAIRN TERRIER/MIX,BLACK/TAN,Neutered,MED,11/6/2011,11/6/2014,9/7/2014,28,STRAY,ADOPTION
KOA,POMERANIAN,WHITE,Male,SMALL,01/26/2014,10/18/2019,5/11/2019,18,STRAY,RETURN TO OWNER
OCTAVIA,GERM SHEPHERD,BLACK/TAN,Female,MED,07/29/2019,1/2/2020,1/2/2020,0,STRAY,RETURN TO OWNER
*HOLLY,SIBERIAN HUSKY/GERM SHEPHERD,TRICOLOR,Spayed,PUPPY,09/26/2019,11/12/2019,12/20/2019,9,OWNER SURRENDER,ADOPTION
SCOTTIE,YORKSHIRE TERR/MIX,BLACK/BROWN,Male,SMALL,11/6/2018,11/12/2019,,0,OWNER SURRENDER,
JUNO,PARSON RUSS TER,TAN/WHITE,Female,SMALL,5/11/2007,4/11/2019,5/11/2019,1,STRAY,RETURN TO OWNER
