Name,Breed,Color,Sex,Size,DateOfBirth,IntakeDate,OutcomeDate,DaysinShelter,IntakeType,OutcomeType
WHISKEY,ROTTWEILER/GERM SHEPHERD,BROWN,Spayed,PUPPY,11/25/2014,11/26/2014,01/23/2015,58,STRAY,ADOPTION
FINN,LABRADOR RETR/MIX,BLACK,Neutered,MED,07/31/2013,01/24/2014,1/2/2014,8,STRAY,ADOPTION
,CHIHUAHUA SH,BROWN,Female,TOY,,6/7/2017,07/26/2017,20,STRAY,EUTHANIZE
SIMON,CHIHUAHUA SH/MIX,TAN/WHITE,Neutered,SMALL,03/28/2015,09/20/2016,1/10/2016,11,STRAY,ADOPTION
*REBA,GERM SHEPHERD/ALASKAN HUSKY,BLACK/BROWN,Spayed,LARGE,1/5/2017,2/3/2019,05/14/2019,73,STRAY,ADOPTION
RILEY,GERM SHEPHERD,BLACK/RED,Male,LARGE,8/12/2011,11/29/2014,9/12/2014,10,STRAY,EUTHANIZE
HUNTER,PARSON RUSS TER/WELSH CORGI CAR,WHITE/TAN,Neutered,MED,1/12/2006,05/25/2017,05/25/2017,0,STRAY,RETURN TO OWNER
CARAMELO,CHIHUAHUA SH,TAN,Neutered,SMALL,11/2/2010,01/23/2014,02/15/2014,23,OWNER SURRENDER,ADOPTION
THOR,BOXER/SHIBA INU,BR BRINDLE/WHITE,Neutered,MED,06/22/2013,01/25/2018,01/26/2018,1,STRAY,RETURN TO OWNER
JORDAN,LABRADOR RETR/PIT BULL,BROWN/WHITE,Neutered,LARGE,07/28/2015,4/10/2016,5/10/2016,1,STRAY,RETURN TO OWNER
MATEO,CHIHUAHUA SH,TAN,Male,TOY,1/11/2013,5/8/2014,08/28/2014,23,OWNER SURRENDER,EUTHANIZE
*CHRISTIE,PIT BULL/MIX,TAN,Spayed,PUPPY,9/4/2017,9/8/2017,08/23/2017,14,STRAY,ADOPTION
KING,ROTTWEILER/BOXER,RED,Neutered,LARGE,10/7/2011,10/7/2014,07/19/2014,9,OWNER SURRENDER,RETURN TO OWNER
KIDDY,CHIHUAHUA SH,TAN,Spayed,TOY,11/9/2012,9/5/2017,10/5/2017,1,STRAY,RETURN TO OWNER
LINDA,GERM SHEPHERD,BLACK/TAN,Spayed,MED,1/5/2015,01/22/2019,03/15/2019,52,OWNER SURRENDER,ADOPTION
CHICO,PARSON RUSS TER,WHITE/BROWN,Neutered,MED,5/11/2006,10/25/2014,1/11/2014,7,CONFISCATE,RETURN TO OWNER
,PIT BULL,BLUE/WHITE,Female,LARGE,,10/11/2015,5/12/2015,25,STRAY,EUTHANIZE
*ANNIE,GERM SHEPHERD/MIX,BLACK/BR BRINDLE,Spayed,MED,07/14/2013,9/5/2014,05/20/2014,11,TRANSFER,ADOPTION
CHAPARRO,CHIHUAHUA SH,TAN,Neutered,TOY,06/23/2004,5/6/2017,06/23/2017,18,STRAY,ADOPTION
PORKY,SHIH TZU/MIX,BLACK/WHITE,Spayed,SMALL,1/1/2001,12/8/2014,12/8/2014,0,STRAY,RETURN TO OWNER
*MITCHELL,PIT BULL,BROWN/WHITE,Neutered,MED,03/13/2016,3/3/2017,04/14/2017,42,STRAY,ADOPTION
JACK,BOXER,FAWN,Neutered,LARGE,7/1/2007,7/1/2016,7/1/2016,0,STRAY,RETURN TO OWNER
LILA,CHIHUAHUA SH,BROWN,Neutered,TOY,9/12/2012,04/19/2015,04/20/2015,1,STRAY,EUTHANIZE
*CANDACE,REDBONE HOUND/MIX,BR BRINDLE,Spayed,PUPPY,09/14/2014,03/14/2015,03/28/2015,14,STRAY,ADOPTION
MAX,BLUETICK HOUND,TRICOLOR/RED TICK,Neutered,MED,4/7/2012,05/23/2019,06/18/2019,26,QUARANTINE,EUTHANIZE
,FOX TERR SMOOTH,TRICOLOR,Female,SMALL,,9/12/2015,12/18/2015,9,STRAY,EUTHANIZE
SNOOPY,AMER BULLDOG,WHITE,Male,LARGE,12/14/2009,07/17/2014,07/18/2014,1,STRAY,RETURN TO OWNER
DIAMOND,PIT BULL,BL BRINDLE/WHITE,Spayed,LARGE,07/17/2015,02/17/2016,02/17/2016,0,STRAY,RETURN TO OWNER
NEEMO,BORDER COLLIE,BLACK/WHITE,Neutered,LARGE,10/28/2013,2/1/2015,3/1/2015,1,STRAY,RETURN TO OWNER
FOXY,CHIHUAHUA SH,WHITE,Female,SMALL,11/15/2008,11/18/2014,11/18/2014,0,CONFISCATE,RETURN TO OWNER
LEXI,CHIHUAHUA SH,WHITE,Female,TOY,,6/11/2018,7/11/2018,1,CONFISCATE,RETURN TO OWNER
BEELEE,AKITA/ALASKAN HUSKY,TRICOLOR,Neutered,LARGE,04/19/2017,09/26/2018,10/11/2018,45,STRAY,ADOPTION
HAZEL,PIT BULL,BLUE,Female,MED,,12/1/2019,01/31/2019,19,STRAY,EUTHANIZE
BUBBA,AMER BULLDOG,BR BRINDLE/WHITE,Neutered,LARGE,05/21/2012,9/4/2015,10/4/2015,1,STRAY,RETURN TO OWNER
*OBI,CHIHUAHUA SH,TAN,Neutered,SMALL,10/22/2013,10/16/2014,11/15/2014,30,STRAY,ADOPTION
CHATO,SHIH TZU,BLACK/WHITE,Neutered,SMALL,02/22/2012,02/19/2014,02/22/2014,3,STRAY,RETURN TO OWNER
MAXWELL,CAIRN TERRIER/MIX,BLACK/GRAY,Neutered,PUPPY,08/13/2016,7/3/2017,03/15/2017,8,OWNER SURRENDER,ADOPTION
*TIMOTHY,CHIHUAHUA SH/DACHSHUND,BROWN/WHITE,Neutered,PUPPY,06/25/2018,06/25/2019,07/20/2019,25,STRAY,TRANSFER
CHIEF,AMERICAN STAFF,BLACK/WHITE,Male,LARGE,7/1/2013,4/6/2014,06/18/2014,14,STRAY,EUTHANIZE
*NOODLE,LABRADOR RETR/DOBERMAN PINSCH,BROWN,Neutered,LARGE,3/8/2015,01/17/2017,2/3/2017,44,STRAY,ADOPTION
MYA,LABRADOR RETR,YELLOW,Female,LARGE,09/23/2010,09/23/2014,10/29/2014,36,STRAY,EUTHANIZE
CHAPARRO,PIT BULL,BLACK/WHITE,Male,MED,11/10/2014,11/4/2015,04/14/2015,3,STRAY,RETURN TO OWNER
DAKOTA,DACHSHUND,TAN/BLACK,Spayed,SMALL,6/9/2014,08/18/2016,09/13/2016,26,STRAY,ADOPTION
TUDI,POODLE MIN,WHITE,Spayed,MED,04/14/2005,7/4/2015,04/15/2015,8,STRAY,ADOPTION
SCOUT,GERM SHEPHERD,RED/BLACK,Male,LARGE,,01/19/2019,01/19/2019,0,STRAY,RETURN TO OWNER
BAMBI,LHASA APSO,BUFF,Spayed,SMALL,04/17/2014,04/17/2018,04/17/2018,0,CONFISCATE,RETURN TO OWNER
PIPER,PIT BULL/MIX,BR BRINDLE/WHITE,Spayed,LARGE,05/17/2001,02/28/2017,03/15/2017,15,CONFISCATE,RETURN TO OWNER
HELGA,ANATOL SHEPHERD,CREAM/FAWN,Female,X-LRG,4/2/2015,04/26/2018,04/27/2018,1,STRAY,RETURN TO OWNER
SCIRACHI,PIT BULL,GRAY/WHITE,Neutered,LARGE,03/19/2013,08/25/2018,5/9/2018,11,OWNER SURRENDER,EUTHANIZE
CHASER,BASENJI/MIX,TAN,Male,SMALL,09/27/2012,09/27/2014,3/10/2014,6,STRAY,RETURN TO OWNER
GOLDIE,CHIHUAHUA SH/MIX,TAN,Spayed,SMALL,05/18/2016,7/6/2017,06/16/2017,9,ADOPTION RETURN,ADOPTION
*VANNA,LABRADOR RETR/AUST CATTLE DOG,BLACK/WHITE,Spayed,MED,08/14/2015,01/17/2017,03/25/2017,67,STRAY,ADOPTION
RUDY,AUST TERRIER,BLACK/BROWN,Neutered,SMALL,01/17/2014,01/17/2015,01/27/2015,10,STRAY,ADOPTION
WHITEAR,PIT BULL,BROWN/WHITE,Male,PUPPY,03/26/2019,09/26/2019,2/10/2019,6,STRAY,RETURN TO OWNER
KIPPER,PARSON RUSS TER/POMERANIAN,TRICOLOR,Neutered,SMALL,08/30/2012,2/4/2014,6/4/2014,4,TRANSFER,TRANSFER
JEMMA,ROTTWEILER/MIX,BROWN,Spayed,LARGE,01/27/2016,04/21/2017,05/30/2017,39,OWNER SURRENDER,EUTHANIZE
KODA,SHETLD SHEEPDOG,BLUE MERLE,Neutered,SMALL,11/22/2012,1/7/2014,8/7/2014,7,OWNER SURRENDER,ADOPTION
,PIT BULL,WHITE,Male,LARGE,,12/30/2018,10/1/2019,11,STRAY,TRANSFER
COYO/KING,GERM SHEPHERD,BLACK/TAN,Male,MED,03/25/2014,02/16/2015,02/26/2015,10,QUARANTINE,RETURN TO OWNER
INDICA,PIT BULL,BLACK/WHITE,Spayed,LARGE,05/24/2008,9/3/2017,6/4/2017,28,STRAY,EUTHANIZE
*CANDY,FOX TERR SMOOTH/MIX,TAN,Spayed,MED,02/28/2012,01/21/2018,03/13/2018,51,STRAY,ADOPTION
CHUCHE,SIBERIAN HUSKY,GRAY/WHITE,Neutered,MED,,4/4/2016,04/14/2016,10,STRAY,RETURN TO OWNER
DEMON,PIT BULL,BLACK,Neutered,LARGE,7/4/2013,08/13/2015,08/18/2015,5,STRAY,RETURN TO OWNER
GORDY,PARSON RUSS TER,TRICOLOR,Neutered,MED,8/5/2009,04/29/2018,05/26/2018,27,STRAY,ADOPTION
DAISY,AUST SHEPHERD,BLACK/BROWN,Spayed,MED,1/2/2009,09/25/2016,09/27/2016,2,STRAY,RETURN TO OWNER
*JAMES,CHIHUAHUA SH,TRICOLOR/WHITE,Neutered,TOY,03/17/2012,5/3/2016,03/19/2016,14,STRAY,ADOPTION
BAMBI,SHIH TZU,TRICOLOR,Female,TOY,10/7/2009,4/12/2017,12/12/2017,8,STRAY,EUTHANIZE
FREDDIE,PARSON RUSS TER/MIX,TRICOLOR,Neutered,MED,03/27/2005,05/25/2017,05/25/2017,0,STRAY,RETURN TO OWNER
,BORDER COLLIE/MIX,BROWN,Female,MED,,03/18/2018,03/19/2018,1,STRAY,RETURN TO OWNER
PEARL,AUST SHEPHERD,BLUE MERLE,Female,LARGE,,5/9/2019,6/9/2019,1,STRAY,RETURN TO OWNER
BUDDY,SIBERIAN HUSKY,RED/WHITE,Neutered,LARGE,06/26/2018,11/6/2019,5/7/2019,24,STRAY,ADOPTION
PIPER,BEAGLE,TRICOLOR,Spayed,MED,03/18/2011,03/18/2014,03/18/2014,0,STRAY,RETURN TO OWNER
,DACHSHUND/MIX,BLACK/TAN,Neutered,TOY,,02/18/2016,4/3/2016,15,STRAY,EUTHANIZE
MADDIE 2,POODLE MIN/MIX,WHITE,Spayed,SMALL,01/23/2013,01/23/2015,01/31/2015,8,STRAY,ADOPTION
SMOKEY,PIT BULL/MIX,BROWN/WHITE,Neutered,MED,,08/15/2018,08/24/2018,9,OWNER SURRENDER,EUTHANIZE
NANCY,COCKER SPAN/MIX,BLACK,Spayed,SMALL,12/18/2012,11/18/2014,12/31/2014,43,STRAY,ADOPTION
SUNKA,ALASKAN HUSKY,WHITE/BLACK,Male,MED,2/9/2017,2/7/2018,3/7/2018,1,STRAY,RETURN TO OWNER
ROCKET,COCKER SPAN,BLACK/WHITE,Neutered,MED,1/4/1998,5/6/2015,9/6/2015,4,STRAY,RETURN TO OWNER
,PIT BULL,GRAY,Female,LARGE,,06/28/2016,07/19/2016,21,STRAY,EUTHANIZE
BO,LABRADOR RETR,BLACK,Neutered,MED,3/9/2010,10/11/2014,10/11/2014,0,STRAY,RETURN TO OWNER
LUCY,LABRADOR RETR,BLACK,Female,LARGE,,05/22/2017,05/22/2017,0,STRAY,RETURN TO OWNER
LOBO,GERM SHEPHERD,BLACK/TAN,Male,LARGE,3/9/2009,12/12/2015,12/30/2015,18,STRAY,EUTHANIZE
*SPARTACUS,CHIHUAHUA SH,BROWN,Neutered,SMALL,11/4/2011,7/4/2014,04/15/2014,8,STRAY,ADOPTION
VIXEN,LABRADOR RETR/MIX,BROWN,Spayed,LARGE,1/10/2014,1/6/2015,2/6/2015,1,STRAY,RETURN TO OWNER
*SUNSHINE,PIT BULL,GRAY/WHITE,Spayed,MED,01/24/2018,06/23/2019,5/10/2019,104,STRAY,ADOPTION
CLARENCE,LHASA APSO/MIX,BLACK,Neutered,TOY,10/11/2005,10/17/2014,11/21/2014,35,STRAY,ADOPTION
PRINCESS,BICHON FRISE,WHITE,Spayed,SMALL,12/17/2005,06/13/2014,06/13/2014,0,STRAY,RETURN TO OWNER
MILO,FOX TERR SMOOTH,WHITE/BLACK,Neutered,SMALL,4/10/2005,10/29/2014,11/23/2014,25,OWNER SURRENDER,TRANSFER
COCO,YORKSHIRE TERR,BROWN,Female,MED,08/28/2014,11/24/2015,11/24/2015,0,STRAY,RETURN TO OWNER
MONKEY,LABRADOR RETR/BLUETICK HOUND,BLACK,Neutered,MED,2/1/2017,12/29/2018,2/1/2019,4,STRAY,RETURN TO OWNER
BLACK JACK,LABRADOR RETR,BLACK,Neutered,LARGE,12/31/2014,6/6/2017,7/6/2017,1,OWNER SURRENDER,EUTHANIZE
BERNIE,ST BERNARD SMTH/CHOW CHOW,BROWN/WHITE,Male,LARGE,,05/28/2019,05/29/2019,1,STRAY,RETURN TO OWNER
LEVI,DACHSHUND/MIX,BROWN,Spayed,SMALL,06/16/2011,3/6/2017,06/21/2017,18,STRAY,ADOPTION
CHATO,SHIH TZU,TAN,Male,TOY,11/17/2001,4/11/2015,11/17/2015,13,STRAY,RETURN TO OWNER
PRINCE,YORKSHIRE TERR/MIX,BLACK/WHITE,Neutered,SMALL,7/7/2012,6/7/2016,6/7/2016,0,STRAY,RETURN TO OWNER
MOSHEP,LABRADOR RETR/GERM SHEPHERD,BLACK/BR BRINDLE,Neutered,LARGE,04/27/2014,11/17/2014,11/18/2014,1,STRAY,RETURN TO OWNER
LEXI,BICHON FRISE/MIX,WHITE,Spayed,SMALL,8/8/2000,09/22/2015,09/23/2015,1,STRAY,RETURN TO OWNER
ROSE,GOLDEN RETR,RED,Female,LARGE,11/11/2009,11/11/2017,11/11/2017,0,STRAY,RETURN TO OWNER
GYPSY,CHIHUAHUA SH,TAN,Spayed,TOY,1/3/2013,02/14/2015,02/17/2015,3,ADOPTION RETURN,ADOPTION
PRINCESS,GERM SHEPHERD,BLACK,Spayed,LARGE,,12/29/2013,3/1/2014,5,STRAY,RETURN TO OWNER
,LHASA APSO,FAWN,Male,SMALL,09/27/2005,11/1/2014,01/18/2014,7,OWNER SURRENDER,EUTHANIZE
LITTLE MAN,PIT BULL,BLUE/WHITE,Neutered,LARGE,05/16/2013,05/16/2015,05/19/2015,3,STRAY,RETURN TO OWNER
BUDDY,DACHSHUND/CHIHUAHUA SH,TAN/WHITE,Neutered,SMALL,1/2/2006,1/4/2014,12/4/2014,11,STRAY,ADOPTION
BODIE,MALTESE/MIX,BLACK/WHITE,Neutered,MED,8/5/2016,8/11/2016,11/19/2016,11,OWNER SURRENDER,ADOPTION
*GEORGIA,PIT BULL/MIX,BR BRINDLE,Spayed,MED,07/28/2014,11/1/2016,01/30/2016,19,STRAY,ADOPTION
CICI,SIBERIAN HUSKY,BLACK/WHITE,Female,LARGE,02/20/2012,08/18/2015,08/20/2015,2,STRAY,RETURN TO OWNER
ODIN,LABRADOR RETR,BLACK/BLACK,Neutered,LARGE,8/9/2016,10/2/2018,03/15/2018,33,CONFISCATE,TRANSFER
GILLEY,LABRADOR RETR,BLACK,Male,LARGE,05/18/2015,01/25/2016,01/26/2016,1,STRAY,RETURN TO OWNER
SONNY,LABRADOR RETR/MIX,YELLOW,Neutered,LARGE,01/21/2009,02/16/2019,02/16/2019,0,STRAY,RETURN TO OWNER
DUKE,LABRADOR RETR/BORDER COLLIE,YELLOW,Neutered,MED,9/11/2003,04/14/2016,04/14/2016,0,STRAY,RETURN TO OWNER
TRAVIESA,GERM SH POINT,BROWN/WHITE,Spayed,MED,12/22/2015,7/6/2016,8/6/2016,1,STRAY,RETURN TO OWNER
ROMMIE,GERM SHEPHERD,BLACK/TAN,Neutered,LARGE,12/10/2004,11/27/2014,11/29/2014,2,STRAY,RETURN TO OWNER
FRIDAY,BORDER COLLIE,BLACK/WHITE,Spayed,MED,10/8/2010,02/21/2015,02/21/2015,0,STRAY,RETURN TO OWNER
OXY,BORDER COLLIE/MIX,TRICOLOR,Spayed,MED,04/15/2016,02/21/2017,3/3/2017,10,ADOPTION RETURN,ADOPTION
CHUCKY,CHIHUAHUA SH/MIX,WHITE/TAN,Male,SMALL,6/6/2017,7/9/2018,7/9/2018,0,STRAY,RETURN TO OWNER
AYLA,SIBERIAN HUSKY,BLACK/WHITE,Spayed,LARGE,01/18/2015,01/18/2018,01/18/2018,0,STRAY,RETURN TO OWNER
TORI,BASSET HOUND,WHITE/TRICOLOR,Spayed,MED,12/4/2007,12/4/2017,12/4/2017,0,STRAY,RETURN TO OWNER
LUCY,CAIRN TERRIER/MIX,WHITE/TAN,Spayed,SMALL,03/13/2014,03/13/2015,03/21/2015,8,STRAY,ADOPTION
*RIVER,PIT BULL,BROWN/WHITE,Neutered,LARGE,06/13/2014,05/30/2017,9/8/2017,71,STRAY,ADOPTION
MAX,BORDER COLLIE,BLACK/WHITE,Neutered,MED,02/28/2006,02/28/2015,02/28/2015,0,STRAY,RETURN TO OWNER
*BLANCA G.,CHIHUAHUA SH/MIX,TAN/BLUE,Spayed,PUPPY,9/5/2017,10/5/2017,3/8/2017,85,STRAY,ADOPTION
SADIE,LABRADOR RETR/PORT WATER DOG,BLACK,Spayed,LARGE,,4/12/2014,4/12/2014,0,STRAY,RETURN TO OWNER
HOMIE,BOSTON TERRIER,RED/WHITE,Male,MED,10/8/2014,10/8/2017,10/8/2017,0,STRAY,RETURN TO OWNER
LUCY,SHIH TZU/CHIHUAHUA LH,WHITE/TAN,Female,SMALL,8/7/2012,5/7/2017,07/13/2017,8,STRAY,RETURN TO OWNER
MANNY,CHIHUAHUA SH/MIX,BLACK/TAN,Neutered,SMALL,05/25/2007,05/20/2017,6/7/2017,47,OWNER SURRENDER,ADOPTION
PATRICIO,ROTTWEILER,BLACK/BROWN,Neutered,PUPPY,12/2/2018,12/5/2018,05/15/2018,3,STRAY,RETURN TO OWNER
DAISEY,GOLDEN RETR,GOLD,Spayed,LARGE,11/30/2014,2/8/2017,3/8/2017,1,STRAY,RETURN TO OWNER
CLOE,LABRADOR RETR,BLACK,Spayed,MED,03/25/2015,7/3/2016,03/25/2016,18,STRAY,ADOPTION
KODA,PIT BULL,BLUE/WHITE,Spayed,MED,6/3/2012,6/3/2014,03/22/2014,16,STRAY,ADOPTION
SUGAR,MALTESE,WHITE,Spayed,SMALL,03/21/2016,7/11/2016,2/12/2016,25,STRAY,ADOPTION
MALIYAH,PIT BULL,BL BRINDLE,Spayed,LARGE,10/21/2015,06/21/2017,06/22/2017,1,OWNER SURRENDER,RETURN TO OWNER
*CANDY,GERM SHEPHERD,BLACK/TAN,Spayed,LARGE,05/23/2016,05/23/2019,9/7/2019,47,STRAY,ADOPTION
,CHIHUAHUA SH,BROWN,Male,SMALL,,09/26/2017,11/10/2017,15,STRAY,TRANSFER
BRANDEE,TOSA/MIX,FAWN,Female,MED,07/23/2012,07/24/2016,4/8/2016,11,OWNER SURRENDER,EUTHANIZE
*FLYNN,COCKER SPAN/MIX,BLACK,Neutered,SMALL,02/17/2017,04/17/2017,04/28/2017,11,STRAY,ADOPTION
CHEVELLE,PIT BULL,BROWN/WHITE,Spayed,LARGE,11/14/2012,3/7/2016,5/7/2016,2,STRAY,RETURN TO OWNER
GEORGE,CHIHUAHUA LH/SHIH TZU,WHITE/TAN,Neutered,SMALL,7/12/2005,3/12/2016,7/12/2016,4,STRAY,RETURN TO OWNER
NIKKI,GERM SHEPHERD,BLACK/TAN,Female,LARGE,,06/22/2017,06/30/2017,8,CONFISCATE,RETURN TO OWNER
BISQUET,BICHON FRISE/MIX,WHITE,Male,SMALL,02/28/2003,02/27/2017,02/28/2017,1,STRAY,RETURN TO OWNER
CLEO,LABRADOR RETR/MIX,BLACK/WHITE,Spayed,MED,,01/19/2014,5/2/2014,17,STRAY,RETURN TO OWNER
TROUBLE,PARSON RUSS TER/MIX,BROWN/WHITE,Male,MED,12/1/2017,12/1/2018,01/18/2018,6,STRAY,RETURN TO OWNER
BROWNIE,YORKSHIRE TERR/MIX,BROWN,Spayed,SMALL,07/27/2011,8/7/2015,8/7/2015,0,STRAY,RETURN TO OWNER
QB,BOXER/PIT BULL,BROWN/WHITE,Spayed,LARGE,11/4/2013,11/4/2015,8/9/2015,150,STRAY,ADOPTION
,AMERICAN STAFF,BLACK/WHITE,Male,MED,,06/20/2017,06/30/2017,10,STRAY,TRANSFER
MONTY,CHIHUAHUA SH,GOLD,Neutered,SMALL,7/7/2014,7/7/2016,2/8/2016,26,STRAY,ADOPTION
*SOPHIE,DUTCH SHEPHERD/MIX,BROWN,Spayed,PUPPY,10/8/2019,10/10/2019,12/10/2019,2,OWNER SURRENDER,ADOPTION
CUPID,SHIH TZU/MIX,BLACK/TAN,Neutered,SMALL,08/26/2013,08/26/2014,09/26/2014,31,STRAY,ADOPTION
CHICA,PIT BULL/MIX,TAN/WHITE,Female,LARGE,07/19/2011,9/3/2019,03/14/2019,5,CONFISCATE,RETURN TO OWNER
MOLLY,LABRADOR RETR,YELLOW,Spayed,MED,05/22/2005,05/22/2015,05/23/2015,1,STRAY,RETURN TO OWNER
,PIT BULL,BLACK,Female,MED,,1/4/2018,12/4/2018,11,STRAY,EUTHANIZE
,CHIHUAHUA SH/MIX,RED/TAN,Female,SMALL,,5/2/2018,10/2/2018,5,STRAY,EUTHANIZE
MOLLY,LABRADOR RETR/BORDER COLLIE,BLACK/WHITE,Spayed,MED,10/6/2014,05/24/2017,05/24/2017,0,STRAY,RETURN TO OWNER
NENA,PIT BULL/MIX,BROWN/WHITE,Female,MED,05/16/2009,05/16/2014,05/27/2014,11,OWNER SURRENDER,EUTHANIZE
CASSIE,AMERICAN STAFF,BR BRINDLE,Spayed,MED,6/8/2015,08/16/2016,9/9/2016,24,STRAY,ADOPTION
MIMI,CHIHUAHUA SH,BLACK/TAN,Spayed,MED,06/21/2012,06/17/2014,08/26/2014,70,OWNER SURRENDER,ADOPTION
CATULIN,GERM SHEPHERD,BLACK,Male,LARGE,,10/23/2014,10/23/2014,0,STRAY,RETURN TO OWNER
BAM BAM,CHIHUAHUA SH,BROWN/BLACK,Male,PUPPY,03/24/2015,8/5/2015,05/22/2015,14,CONFISCATE,RETURN TO OWNER
,PIT BULL/LABRADOR RETR,BROWN/WHITE,Female,PUPPY,10/30/2018,12/21/2018,12/29/2018,8,STRAY,RETURN TO OWNER
*OLIVER,NORFOLK TERRIER/MIX,BUFF/WHITE,Neutered,SMALL,09/27/2013,06/27/2014,12/7/2014,15,STRAY,ADOPTION
DESTINY,PAPILLON,BROWN/WHITE,Spayed,TOY,03/29/2008,11/20/2018,12/17/2018,27,STRAY,TRANSFER
HARLEY,LABRADOR RETR,BLACK,Neutered,LARGE,08/19/2005,08/17/2015,08/19/2015,2,STRAY,RETURN TO OWNER
BONBON,CHIHUAHUA SH,TAN,Neutered,TOY,4/6/2012,05/29/2014,08/19/2014,82,OWNER SURRENDER,ADOPTION
WALKER,CHIHUAHUA SH,GRAY/BROWN,Neutered,TOY,07/28/2012,02/14/2014,02/20/2014,6,OWNER SURRENDER,ADOPTION
FRANK,BEAGLE,TRICOLOR,Neutered,SMALL,7/7/2006,5/7/2015,7/7/2015,2,STRAY,RETURN TO OWNER
ROCKY,GERM SHEPHERD/MIX,BLACK/TAN,Male,MED,12/29/2004,12/29/2016,12/31/2016,2,STRAY,EUTHANIZE
DAISY,CHIHUAHUA LH/MIX,WHITE,Female,SMALL,,11/26/2017,11/26/2017,0,OWNER SURRENDER,EUTHANIZE
PAXTON,FRENCH BULLDOG,BLACK,Male,SMALL,8/1/2018,8/1/2019,8/1/2019,0,OWNER SURRENDER,TRANSFER
DAWN TU,QUEENSLAND HEEL,BLUE MERLE,Female,MED,10/3/2014,04/22/2018,04/25/2018,3,CONFISCATE,RETURN TO OWNER
SUPER II,SIBERIAN HUSKY,WHITE/BLACK,Neutered,MED,11/1/2009,12/4/2018,04/13/2018,1,STRAY,RETURN TO OWNER
SHILOH,MIN PINSCHER,BLACK/BROWN,Neutered,SMALL,06/17/2013,05/23/2015,05/26/2015,3,STRAY,RETURN TO OWNER
REX,GERM SHEPHERD,BLACK/TAN,Male,LARGE,01/21/2018,07/21/2019,07/25/2019,4,STRAY,RETURN TO OWNER
SPARKY,PIT BULL/BOXER,WHITE/RED,Neutered,MED,1/2/2014,08/13/2015,08/18/2015,5,STRAY,RETURN TO OWNER
CHERRY,BLUETICK HOUND,TRICOLOR,Spayed,PUPPY,1/5/2017,06/29/2017,11/7/2017,12,STRAY,ADOPTION
BETTY,PIT BULL,WHITE/BLUE,Spayed,MED,09/30/2011,01/30/2015,3/2/2015,4,STRAY,RETURN TO OWNER
SNOOP,PIT BULL,BLACK/WHITE,Male,PUPPY,4/10/2013,4/2/2014,4/2/2014,0,OWNER SURRENDER,EUTHANIZE
BARRON,MASTIFF/ST BERNARD RGH,BROWN/BLACK,Neutered,LARGE,6/7/2008,12/26/2013,9/1/2014,14,OWNER SURRENDER,EUTHANIZE
*MILLIE,PIT BULL,BLUE/WHITE,Spayed,LARGE,6/6/2014,6/6/2015,09/19/2015,105,STRAY,ADOPTION
MAXXIMUS,CHIHUAHUA SH/MIX,BUFF,Male,SMALL,6/2/2012,01/28/2014,6/2/2014,9,CONFISCATE,RETURN TO OWNER
G.S. COOKIE,DACHSHUND WH,BLACK/TAN,Spayed,SMALL,1/7/2013,04/24/2014,3/5/2014,9,STRAY,ADOPTION
LUCY,AUST CATTLE DOG/MIX,BLUE MERLE/WHITE,Spayed,MED,10/15/2013,12/4/2019,04/13/2019,1,STRAY,RETURN TO OWNER
BIENE,GERM SH POINT,BROWN/WHITE,Spayed,MED,2/7/2013,11/6/2015,2/7/2015,21,STRAY,ADOPTION
SEBASTIAN,CHIHUAHUA SH/MIX,BLACK/BROWN,Neutered,SMALL,,6/12/2018,7/12/2018,1,STRAY,RETURN TO OWNER
LILAH,PIT BULL/MIX,TAN/WHITE,Spayed,PUPPY,04/18/2015,9/5/2015,06/26/2015,48,STRAY,ADOPTION
SAM,CHIHUAHUA LH,BROWN/BLACK,Neutered,SMALL,09/23/2010,6/3/2015,7/3/2015,1,CONFISCATE,RETURN TO OWNER
SHADOW,CHIHUAHUA SH/MIX,BR BRINDLE,Male,SMALL,11/7/2015,7/3/2017,8/3/2017,1,STRAY,RETURN TO OWNER
KAI,BLACK/TAN HOUND/MIX,BLACK/TAN,Neutered,LARGE,05/16/2005,05/16/2015,05/19/2015,3,STRAY,RETURN TO OWNER
BLACKY,BORDER COLLIE/MIX,BLACK/WHITE,Neutered,SMALL,9/1/2015,12/30/2015,9/1/2016,10,STRAY,RETURN TO OWNER
,PIT BULL,BLUE/WHITE,Female,LARGE,,05/31/2016,06/22/2016,22,STRAY,EUTHANIZE
SOPHIE,SHIH TZU,WHITE/BLACK,Female,SMALL,6/6/2004,6/6/2017,6/6/2017,0,STRAY,RETURN TO OWNER
,PIT BULL/MIX,BLACK/WHITE,Male,LARGE,,01/13/2014,01/29/2014,16,TRANSFER,EUTHANIZE
CALLIE,PIT BULL,BLUE/WHITE,Spayed,MED,01/29/2013,6/1/2019,01/29/2019,23,CONFISCATE,RETURN TO OWNER
ECHO,AMER BULLDOG,WHITE/BR BRINDLE,Spayed,LARGE,02/28/2007,02/28/2015,03/21/2015,21,OWNER SURRENDER,ADOPTION
BILLY BEAN,CHIHUAHUA SH/MIX,WHITE,Female,TOY,8/7/2008,4/10/2016,4/10/2016,0,STRAY,RETURN TO OWNER
